ID,Reference,Verse,Notes,NoteFonts,Manual Analysis,AnalyzersBestAnalysis,Residue
3,My Examples 1:3,,,,,,
4,My Examples 1:4,,,,,,
5,My Examples 1:5,,,,,,
6,My Examples 1:6,,,,,,
7,My Examples 1:7,,,,,,
8,My Examples 1:8,,,,,,
10,My Examples 1:10,,,,,,
11,My Examples 1:11,,,,,,
13,My Examples 1:13,,,,,,
14,My Examples 1:14,,,,,,
15,My Examples 1:15,,,,,,
16,My Examples 1:16,,,,,,
17,My Examples 1:17,,,,,,
18,My Examples 1:18,,,,,,
19,My Examples 1:19,,,,,,
20,My Examples 1:20,,,,,,
21,My Examples 1:21,,,,,,
22,My Examples 1:22,,,,,,
23,My Examples 1:23,,,,,,
24,My Examples 1:24,,,,,,
25,My Examples 1:25,,,,,,
26,My Examples 1:26,,,,,,
27,My Examples 1:27,,,,,,
28,My Examples 1:28,,,,,,
29,My Examples 1:29,,,,,,
30,My Examples 1:30,,,,,,
31,My Examples 1:31,,,,,,
32,My Examples 1:32,,,,,,
33,My Examples 1:33,,,,,,
34,My Examples 1:34,,,,,,
35,My Examples 1:35,,,,,,
36,My Examples 1:36,,,,,,
37,My Examples 1:37,,,,,,
38,My Examples 1:38,,,,,,
39,My Examples 1:39,,,,,,
40,My Examples 1:40,,,,,,
41,My Examples 1:41,,,,,,
42,My Examples 1:42,,,,,,
43,My Examples 1:43,,,,,,
44,My Examples 1:44,,,,,,
45,My Examples 1:45,,,,,,
46,My Examples 1:46,,,,,,
47,My Examples 1:47,,,,,,
48,My Examples 1:48,,,,,,
49,My Examples 1:49,,,,,,
50,My Examples 1:50,,,,,,
51,My Examples 1:51,,,,,,
52,My Examples 1:52,,,,,,
53,My Examples 1:53,,,,,,
54,My Examples 1:54,,,,,,
55,My Examples 1:55,,,,,,
56,My Examples 1:56,,,,,,
57,My Examples 1:57,,,,,,
58,My Examples 1:58,,,,,,
59,My Examples 1:59,,,,,,
60,My Examples 1:60,,,,,,
61,My Examples 1:61,,,,,,
62,My Examples 1:62,,,,,,
63,My Examples 1:63,,,,,,
64,My Examples 1:64,,,,,,
65,My Examples 1:65,,,,,,
66,My Examples 1:66,,,,,,
67,My Examples 1:67,,,,,,
68,My Examples 1:68,,,,,,
69,My Examples 1:69,,,,,,
70,My Examples 1:70,,,,,,
71,My Examples 1:71,,,,,,
72,My Examples 1:72,,,,,,
73,My Examples 1:73,,,,,,
74,My Examples 1:74,,,,,,
75,My Examples 1:75,,,,,,
76,My Examples 1:76,,,,,,
77,My Examples 1:77,,,,,,
78,My Examples 1:78,,,,,,
79,My Examples 1:79,,,,,,
80,My Examples 1:80,,,,,,
81,My Examples 1:81,,,,,,
82,My Examples 1:82,,,,,,
83,My Examples 1:83,,,,,,
84,My Examples 1:84,,,,,,
85,My Examples 1:85,,,,,,
86,My Examples 1:86,,,,,,
87,My Examples 1:87,,,,,,
88,My Examples 1:88,,,,,,
89,My Examples 1:89,,,,,,
90,My Examples 1:90,,,,,,
91,My Examples 1:91,,,,,,
92,My Examples 1:92,,,,,,
93,My Examples 1:93,,,,,,
94,My Examples 1:94,,,,,,
95,My Examples 1:95,,,,,,
96,My Examples 1:96,,,,,,
97,My Examples 1:97,,,,,,
98,My Examples 1:98,,,,,,
99,My Examples 1:99,,,,,,
100,My Examples 1:100,,,,,,
101,My Examples 1:101,,,,,,
102,My Examples 1:102,,,,,,
103,My Examples 1:103,,,,,,
104,My Examples 1:104,,,,,,
105,My Examples 1:105,,,,,,
106,My Examples 1:106,,,,,,
107,My Examples 1:107,,,,,,
108,My Examples 1:108,,,,,,
109,My Examples 1:109,,,,,,
110,My Examples 1:110,,,,,,
111,My Examples 1:111,,,,,,
112,My Examples 1:112,,,,,,
113,My Examples 1:113,,,,,,
114,My Examples 1:114,,,,,,
115,My Examples 1:115,,,,,,
116,My Examples 1:116,,,,,,
117,My Examples 1:117,,,,,,
118,My Examples 1:118,,,,,,
119,My Examples 1:119,,,,,,
120,My Examples 1:120,,,,,,
121,My Examples 1:121,,,,,,
122,My Examples 1:122,,,,,,
123,My Examples 1:123,,,,,,
124,My Examples 1:124,,,,,,
125,My Examples 1:125,,,,,,
126,My Examples 1:126,,,,,,
127,My Examples 1:127,,,,,,
128,My Examples 1:128,,,,,,
129,My Examples 1:129,,,,,,
130,My Examples 1:130,,,,,,
131,My Examples 1:131,,,,,,
132,My Examples 1:132,,,,,,
133,My Examples 1:133,,,,,,
134,My Examples 1:134,,,,,,
135,My Examples 1:135,,,,,,
136,My Examples 1:136,,,,,,
137,My Examples 1:137,,,,,,
138,My Examples 1:138,,,,,,
139,My Examples 1:139,,,,,,
140,My Examples 1:140,,,,,,
141,My Examples 1:141,,,,,,
142,My Examples 1:142,,,,,,
143,My Examples 1:143,,,,,,
144,My Examples 1:144,,,,,,
145,My Examples 1:145,,,,,,
146,My Examples 1:146,,,,,,
147,My Examples 1:147,,,,,,
148,My Examples 1:148,,,,,,
149,My Examples 1:149,,,,,,
150,My Examples 1:150,,,,,,
151,My Examples 1:151,,,,,,
152,My Examples 1:152,,,,,,
153,My Examples 1:153,,,,,,
154,My Examples 1:154,,,,,,
155,My Examples 1:155,,,,,,
156,My Examples 1:156,,,,,,
157,My Examples 1:157,,,,,,
158,My Examples 1:158,,,,,,
159,My Examples 1:159,,,,,,
160,My Examples 1:160,,,,,,
161,My Examples 1:161,,,,,,
162,My Examples 1:162,,,,,,
163,My Examples 1:163,,,,,,
164,My Examples 1:164,,,,,,
165,My Examples 1:165,,,,,,
166,My Examples 1:166,,,,,,
167,My Examples 1:167,,,,,,
168,My Examples 1:168,,,,,,
169,My Examples 1:169,,,,,,
170,My Examples 1:170,,,,,,
171,My Examples 1:171,,,,,,
172,My Examples 1:172,,,,,,
173,My Examples 1:173,,,,,,
174,My Examples 1:174,,,,,,
175,My Examples 1:175,,,,,,
176,My Examples 1:176,,,,,,
177,My Examples 1:177,,,,,,
178,My Examples 1:178,,,,,,
179,My Examples 1:179,,,,,,
180,My Examples 1:180,,,,,,
181,My Examples 1:181,,,,,,
182,My Examples 1:182,,,,,,
183,My Examples 1:183,,,,,,
184,My Examples 1:184,,,,,,
185,My Examples 1:185,,,,,,
186,My Examples 1:186,,,,,,
187,My Examples 1:187,,,,,,
188,My Examples 1:188,,,,,,
189,My Examples 1:189,,,,,,
190,My Examples 1:190,,,,,,
191,My Examples 1:191,,,,,,
192,My Examples 1:192,,,,,,
193,My Examples 1:193,,,,,,
194,My Examples 1:194,,,,,,
195,My Examples 1:195,,,,,,
196,My Examples 1:196,,,,,,
197,My Examples 1:197,,,,,,
198,My Examples 1:198,,,,,,
199,My Examples 1:199,,,,,,
200,My Examples 1:200,,,,,,
201,My Examples 1:201,,,,,,
202,My Examples 1:202,,,,,,
203,My Examples 1:203,,,,,,
204,My Examples 1:204,,,,,,
205,My Examples 1:205,,,,,,
206,My Examples 1:206,,,,,,
207,My Examples 1:207,,,,,,
208,My Examples 1:208,,,,,,
209,My Examples 1:209,,,,,,
210,My Examples 1:210,,,,,,
211,My Examples 1:211,,,,,,
212,My Examples 1:212,,,,,,
213,My Examples 1:213,,,,,,
214,My Examples 1:214,,,,,,
215,My Examples 1:215,,,,,,
216,My Examples 1:216,,,,,,
217,My Examples 1:217,,,,,,
218,My Examples 1:218,,,,,,
219,My Examples 1:219,,,,,,
220,My Examples 1:220,,,,,,
221,My Examples 1:221,,,,,,
222,My Examples 1:222,,,,,,
223,My Examples 1:223,,,,,,
224,My Examples 1:224,,,,,,
225,My Examples 1:225,,,,,,
226,My Examples 1:226,,,,,,
227,My Examples 1:227,,,,,,
228,My Examples 1:228,,,,,,
229,My Examples 1:229,,,,,,
230,My Examples 1:230,,,,,,
231,My Examples 1:231,,,,,,
232,My Examples 1:232,,,,,,
233,My Examples 1:233,,,,,,
234,My Examples 1:234,,,,,,
235,My Examples 1:235,,,,,,
236,My Examples 1:236,,,,,,
237,My Examples 1:237,,,,,,
238,My Examples 1:238,,,,,,
239,My Examples 1:239,,,,,,
240,My Examples 1:240,,,,,,
241,My Examples 1:241,,,,,,
242,My Examples 1:242,,,,,,
243,My Examples 1:243,,,,,,
244,My Examples 1:244,,,,,,
245,My Examples 1:245,,,,,,
246,My Examples 1:246,,,,,,
247,My Examples 1:247,,,,,,
248,My Examples 1:248,,,,,,
249,My Examples 1:249,,,,,,
250,My Examples 1:250,,,,,,
251,My Examples 1:251,,,,,,
252,My Examples 1:252,,,,,,
253,My Examples 1:253,,,,,,
254,My Examples 1:254,,,,,,
255,My Examples 1:255,,,,,,
256,My Examples 1:256,,,,,,
257,My Examples 1:257,,,,,,
258,My Examples 1:258,,,,,,
259,My Examples 1:259,,,,,,
260,My Examples 1:260,,,,,,
261,My Examples 1:261,,,,,,
262,My Examples 1:262,,,,,,
263,My Examples 1:263,,,,,,
264,My Examples 1:264,,,,,,
265,My Examples 1:265,,,,,,
266,My Examples 1:266,,,,,,
267,My Examples 1:267,,,,,,
268,My Examples 1:268,,,,,,
269,My Examples 1:269,,,,,,
270,My Examples 1:270,,,,,,
271,My Examples 1:271,,,,,,
272,My Examples 1:272,,,,,,
273,My Examples 1:273,,,,,,
274,My Examples 1:274,,,,,,
275,My Examples 1:275,,,,,,
276,My Examples 1:276,,,,,,
277,My Examples 1:277,,,,,,
278,My Examples 1:278,,,,,,
279,My Examples 1:279,,,,,,
280,My Examples 1:280,,,,,,
281,My Examples 1:281,,,,,,
282,My Examples 1:282,,,,,,
283,My Examples 1:283,,,,,,
284,My Examples 1:284,,,,,,
285,My Examples 1:285,,,,,,
286,My Examples 1:286,,,,,,
287,My Examples 1:287,,,,,,
288,My Examples 1:288,,,,,,
