ID,Reference,Verse,Notes,NoteFonts,Residue
1,NounPhrase 1:1,John walked.,,,
2,NounPhrase 1:2,John and Mary walked.,,,
3,NounPhrase 1:3,"John, Mary, and Peter walked.",,,
4,NounPhrase 1:4,John gave this book to Mary.,,,
5,NounPhrase 1:5,John walked from that river.,,,
6,NounPhrase 1:6,John walked to that river.,,,
7,NounPhrase 1:7,John walked in that river.,,,
8,NounPhrase 1:8,John walked in the evening.,,,
9,NounPhrase 1:9,John walked with Mary.,,,
10,NounPhrase 1:10,John walked without Mary.,,,
11,NounPhrase 1:11,John cut this fish with a knife.,,,
12,NounPhrase 1:12,John spoke about Mary.,,,
13,NounPhrase 1:13,John walked because of Mary.,,,
14,NounPhrase 1:14,"Mary, John walked.",,,
15,NounPhrase 1:15,John walked through that field.,,,
16,NounPhrase 1:16,John sat beside Mary.~!~(NP John ) (VP sat ) (NP beside Mary ) . ,,,
17,NounPhrase 1:17,John walked in front of Mary.,,,
18,NounPhrase 1:18,"That person saw John, Mary, and Peter.",,,
19,NounPhrase 1:19,John told Mary about that book.,,,
20,NounPhrase 1:20,John asked Mary about that book.,,,
21,NounPhrase 1:21,John knows about that problem.,,,
22,NounPhrase 1:22,John moved from that house to this house.,,,
23,NounPhrase 1:23,That book belongs to John.,,,
24,NounPhrase 1:24,John agreed with Mary.,,,
25,NounPhrase 1:25,Mary named this baby John.,,,
26,NounPhrase 1:26,John walked for one day.,,,
27,NounPhrase 1:27,,,,
28,NounPhrase 1:28,,,,
29,NounPhrase 1:29,,,,
30,NounPhrase 1:30,,,,
31,NounPhrase 1:31,,,,
32,NounPhrase 1:32,,,,
33,NounPhrase 1:33,,,,
34,NounPhrase 1:34,,,,
35,NounPhrase 1:35,,,,
36,NounPhrase 1:36,,,,
37,NounPhrase 1:37,,,,
38,NounPhrase 1:38,,,,
39,NounPhrase 1:39,,,,
40,NounPhrase 1:40,,,,
41,NounPhrase 1:41,,,,
42,NounPhrase 1:42,,,,
43,NounPhrase 1:43,,,,
44,NounPhrase 1:44,,,,
45,NounPhrase 1:45,,,,
46,NounPhrase 1:46,,,,
47,NounPhrase 1:47,,,,
48,NounPhrase 1:48,,,,
49,NounPhrase 1:49,,,,
50,NounPhrase 1:50,,,,
51,NounPhrase 1:51,,,,
52,NounPhrase 1:52,,,,
53,NounPhrase 1:53,,,,
54,NounPhrase 1:54,,,,
55,NounPhrase 1:55,,,,
56,NounPhrase 1:56,,,,
57,NounPhrase 1:57,,,,
58,NounPhrase 1:58,,,,
59,NounPhrase 1:59,,,,
60,NounPhrase 1:60,,,,
61,NounPhrase 1:61,,,,
62,NounPhrase 1:62,,,,
63,NounPhrase 1:63,,,,
64,NounPhrase 1:64,,,,
65,NounPhrase 1:65,,,,
66,NounPhrase 1:66,,,,
67,NounPhrase 1:67,,,,
68,NounPhrase 1:68,,,,
69,NounPhrase 1:69,,,,
70,NounPhrase 1:70,,,,
