ID,Reference,Verse,Notes,NoteFonts,Residue
1,Pronoun 1:1,I saw Mary.,,,
2,Pronoun 1:2,You saw Mary.,,,
3,Pronoun 1:3,He saw Mary.,,,
4,Pronoun 1:4,We saw Mary.,,,
5,Pronoun 1:5,We saw Mary.,,,
6,Pronoun 1:6,You saw Mary.,,,
7,Pronoun 1:7,They saw Mary.,,,
8,Pronoun 1:8,Mary saw me.,,,
9,Pronoun 1:9,Mary saw you.,,,
10,Pronoun 1:10,Mary saw him.,,,
11,Pronoun 1:11,Mary saw us.,,,
12,Pronoun 1:12,Mary saw us.,,,
13,Pronoun 1:13,Mary saw you.,,,
14,Pronoun 1:14,Mary saw them.,,,
15,Pronoun 1:15,I saw myself.,,,
16,Pronoun 1:16,You saw yourself.,,,
17,Pronoun 1:17,He saw himself.,,,
18,Pronoun 1:18,We saw ourselves.,,,
19,Pronoun 1:19,We saw ourselves.,,,
20,Pronoun 1:20,You saw yourselves.,,,
21,Pronoun 1:21,They saw themselves.,,,
22,Pronoun 1:22,We gave books to ourselves.,,,
23,Pronoun 1:23,You gave books to yourselves.,,,
24,Pronoun 1:24,They gave books to themselves.,,,
25,Pronoun 1:25,We saw each other.,,,
26,Pronoun 1:26,You saw each other.,,,
27,Pronoun 1:27,They saw each other.,,,
28,Pronoun 1:28,We gave books to each other.,,,
29,Pronoun 1:29,You gave books to each other.,,,
30,Pronoun 1:30,They gave books to each other.,,,
31,Pronoun 1:31,My house is there.,,,
32,Pronoun 1:32,Your house is there.,,,
33,Pronoun 1:33,His house is there.,,,
34,Pronoun 1:34,Our house is there.,,,
35,Pronoun 1:35,Our house is there.,,,
36,Pronoun 1:36,Your house is there.,,,
37,Pronoun 1:37,Their house is there.,,,
38,Pronoun 1:38,Our house is there.,,,
39,Pronoun 1:39,Our house is there.,,,
40,Pronoun 1:40,Your house is there.,,,
41,Pronoun 1:41,Their house is there.,,,
42,Pronoun 1:42,His house is there.,,,
43,Pronoun 1:43,Our house is there.,,,
44,Pronoun 1:44,Our house is there.,,,
45,Pronoun 1:45,Our house is there.,,,
46,Pronoun 1:46,Our house is there.,,,
47,Pronoun 1:47,Your house is there.,,,
48,Pronoun 1:48,Your house is there.,,,
49,Pronoun 1:49,Their house is there.,,,
50,Pronoun 1:50,,,,
51,Pronoun 1:51,,,,
52,Pronoun 1:52,,,,
53,Pronoun 1:53,,,,
54,Pronoun 1:54,,,,
55,Pronoun 1:55,,,,
56,Pronoun 1:56,,,,
57,Pronoun 1:57,,,,
58,Pronoun 1:58,,,,
59,Pronoun 1:59,,,,
60,Pronoun 1:60,,,,
61,Pronoun 1:61,,,,
62,Pronoun 1:62,,,,
63,Pronoun 1:63,,,,
64,Pronoun 1:64,,,,
65,Pronoun 1:65,,,,
66,Pronoun 1:66,,,,
67,Pronoun 1:67,,,,
68,Pronoun 1:68,,,,
69,Pronoun 1:69,,,,
70,Pronoun 1:70,,,,
