ID,Reference,Verse,Notes,NoteFonts,Residue
1,Theta Grids 1:1,Mary accused John of reading a book.,  ,,
3,Theta Grids 1:3,John agreed with Mary.,  ,,
4,Theta Grids 1:4,John agreed to read a book.,,,
5,Theta Grids 1:5,Mary allowed John to read a book.,,,
6,Theta Grids 1:6,Mary amazed John.,,,
8,Theta Grids 1:8,Mary answered the question.,,,
9,Theta Grids 1:9,Mary looked like an angel.,,,
10,Theta Grids 1:10,John argued with Mary about the book.,,,
11,Theta Grids 1:11,John argued with Mary about who should go to the store.~!~(NP John ) (VP argu+ed[Past_Tense] ) (NP with Mary ) [ about[Complementizer] (NP who ) (VP should[Pre-Verbal] go ) (NP to the[Pre-Nominal] store ) ] . ,,,
12,Theta Grids 1:12,John asked Mary a question.,,,
13,Theta Grids 1:13,"John asked Mary, “Why did you read that book?”~!~(NP John ) (VP ask+ed[Past_Tense] ) (NP Mary ) [ ,_“ (NP (AdvP why ) ) (VP did[CP-VP] ) (NP you ) (VP read ) (NP that[Pre-Nominal] book ) ? ” ] . ",,,
14,Theta Grids 1:14,John asked Mary about the book.,,,
15,Theta Grids 1:15,The king's army attacked the city.,,,
16,Theta Grids 1:16,The lion attacked John.,,,
17,Theta Grids 1:17,John begged Mary to read a book.,,,
18,Theta Grids 1:18,This book belongs to John.,,,
19,Theta Grids 1:19,Mary gave birth to a son.,,,
20,Theta Grids 1:20,John borrowed a book from Mary.,,,
21,Theta Grids 1:21,John bowed to the king.,,,
22,Theta Grids 1:22,John brought a book from school to his house.,,,
23,Theta Grids 1:23,John brought Mary from the mountain to his house.,,,
24,Theta Grids 1:24,John brought a chicken from the store to his house.,,,
25,Theta Grids 1:25,John built a house with wood for Mary.,,,
26,Theta Grids 1:26,John burned the house.,,,
27,Theta Grids 1:27,John bought a house from Mary for his parents.,,,
28,Theta Grids 1:28,Mary took care of the baby.,,,
29,Theta Grids 1:29,John caught a chicken.,,,
30,Theta Grids 1:30,John caught a cold from Mary.,,,
31,Theta Grids 1:31,John chased the dog away from his house.,,,
32,Theta Grids 1:32,John chose a book for Mary.,,,
33,Theta Grids 1:33,John collected taxes from the people for the government.,,,
34,Theta Grids 1:34,John came from his house to the school.,,,
35,Theta Grids 1:35,Mary commanded John to read a book.,,,
36,Theta Grids 1:36,Mary compared this book with that book.,,,
37,Theta Grids 1:37,Mary complained to John about the book.,,,
38,Theta Grids 1:38,John confessed to Mary that he read the book.,,,
39,Theta Grids 1:39,This box contains fruit for the children.,,,
40,Theta Grids 1:40,Mary cooked a chicken for John.,,,
41,Theta Grids 1:41,John covered Mary with a coat.,,,
42,Theta Grids 1:42,John cut the tree down with an axe.,,,
43,Theta Grids 1:43,Mary decided that John has to read a book.,,,
44,Theta Grids 1:44,The king declared that Mary was the queen.,,,
45,Theta Grids 1:45,John delivered a letter to Mary.,,,
46,Theta Grids 1:46,Mary demanded that John read a book.,,,
47,Theta Grids 1:47,John described the book to Mary.,,,
48,Theta Grids 1:48,John destroyed the house with an axe.,,,
49,Theta Grids 1:49,John dug a grave in the mountain for his dog.,,,
50,Theta Grids 1:50,John dipped the bread in the wine.,,,
51,Theta Grids 1:51,The people did good things for Mary.,,,
52,Theta Grids 1:52,Mary dreamed about her baby.,,,
53,Theta Grids 1:53,John drank water from a cup.,,,
54,Theta Grids 1:54,John dropped the fish on the ground.,,,
55,Theta Grids 1:55,John dried his feet with a towel.,,,
56,Theta Grids 1:56,Mary encouraged John to read a book.,,,
57,Theta Grids 1:57,John entered the house.,,,
58,Theta Grids 1:58,John escaped from the dog.,,,
59,Theta Grids 1:59,John escaped from the fire.,,,
60,Theta Grids 1:60,John examined the book.,,,
61,Theta Grids 1:61,Mary expects John to read a book.,,,
62,Theta Grids 1:62,Mary explained the book to John.,,,
63,Theta Grids 1:63,John explained to Mary how he built the house.,,,
64,Theta Grids 1:64,John filled the pitcher with water.,,,
65,Theta Grids 1:65,John found the book for Mary.,,,
66,Theta Grids 1:66,Water flowed from the mountain.,,,
67,Theta Grids 1:67,The bird flew from the tree to the house.,,,
68,Theta Grids 1:68,John followed Mary to her house.,,,
69,Theta Grids 1:69,Mary forbade John to read that book.~!~(NP Mary ) (VP forbade ) (NP John ) [ (NP ) (VP to[Pre-Verbal] read ) (NP that[Pre-Nominal] book ) ] . ,,,
70,Theta Grids 1:70,Mary forced John to read a book.,,,
71,Theta Grids 1:71,John gathered some stones from the river.,,,
72,Theta Grids 1:72,John said goodbye to Mary.,,,
73,Theta Grids 1:73,John greeted Mary.,,,
74,Theta Grids 1:74,The tree grew from the mountain.,,,
75,Theta Grids 1:75,Good things happened to Mary.,,,
76,Theta Grids 1:76,Mary hates that book.,,,
77,Theta Grids 1:77,Mary has a son.,,,
78,Theta Grids 1:78,That chicken has two heads.,,,
79,Theta Grids 1:79,Mary has a cold.,,,
80,Theta Grids 1:80,John had a party for Mary.,,,
81,Theta Grids 1:81,John heard that Mary read a book.,,,
82,Theta Grids 1:82,John heard about the problem.,,,
83,Theta Grids 1:83,John hid the book from Mary in a box.,,,
84,Theta Grids 1:84,John hid from Mary.,,,
85,Theta Grids 1:85,John held the book for Mary.,,,
86,Theta Grids 1:86,John honored the king.,,,
87,Theta Grids 1:87,John hopes to read a book.,,,
88,Theta Grids 1:88,Mary ignored John.,,,
89,Theta Grids 1:89,John inherited a house from his parents.,,,
90,Theta Grids 1:90,Mary insisted that John read a book.,,,
91,Theta Grids 1:91,Mary insulted John.,,,
92,Theta Grids 1:92,John invited Mary to come to his house.,,,
93,Theta Grids 1:93,John jumped from a tree down to the ground.,,,
94,Theta Grids 1:94,John kept a chicken in a cage.,,,
95,Theta Grids 1:95,John killed the snake with a knife.,,,
96,Theta Grids 1:96,John knows Mary's name.,,,
97,Theta Grids 1:97,John knows about the problem.,,,
98,Theta Grids 1:98,John knows how to swim.,,,
99,Theta Grids 1:99,Mary laughed at John.,,,
100,Theta Grids 1:100,John led the people to his house.,,,
101,Theta Grids 1:101,John left Mary's house.,,,
102,Theta Grids 1:102,John learned that Mary read a book.,,,
103,Theta Grids 1:103,John learned about AIDS.,,,
104,Theta Grids 1:104,John learned how to swim.,,,
105,Theta Grids 1:105,John lived in Egypt with his parents.,,,
106,Theta Grids 1:106,Mary loaned money to John.,,,
107,Theta Grids 1:107,John lied to Mary.,,,
108,Theta Grids 1:108,John lifted the baby from the bed.,,,
109,Theta Grids 1:109,John likes reading books.,,,
110,Theta Grids 1:110,John listened to Mary.,,,
111,Theta Grids 1:111,John looked at Mary.,,,
112,Theta Grids 1:112,John loves Mary.,,,
113,Theta Grids 1:113,John loves that book.,,,
114,Theta Grids 1:114,John made a house for Mary with wood.,,,
115,Theta Grids 1:115,John made a promise to Mary.,,,
116,Theta Grids 1:116,John married Mary.,,,
117,Theta Grids 1:117,John missed Mary.,,,
118,Theta Grids 1:118,John mixed gold with bronze.,,,
119,Theta Grids 1:119,Mary mourned for her father.,,,
120,Theta Grids 1:120,Mary moved from Jerusalem to Jericho.,,,
121,Theta Grids 1:121,John moved the boat from his house to the lake.,,,
122,Theta Grids 1:122,Mary moved her foot.,,,
123,Theta Grids 1:123,John needs to read book.,,,
124,Theta Grids 1:124,Mary ordered John to read a book.,,,
125,Theta Grids 1:125,John owns a house.,,,
126,Theta Grids 1:126,John paid money to Mary.,,,
127,Theta Grids 1:127,John planned to read book.,,,
128,Theta Grids 1:128,John blew a trumpet for Mary.~!~(NP John ) (VP blew ) (NP a[Pre-Nominal] trumpet ) (NP for Mary ) . ,,,
129,Theta Grids 1:129,Mary pointed at the man.,,,
130,Theta Grids 1:130,The water poured out from the jar.,,,
131,Theta Grids 1:131,John prayed to God about the problem.,,,
132,Theta Grids 1:132,John prayed that Mary will go to school.,,,
133,Theta Grids 1:133,John preached to the people.,,,
134,Theta Grids 1:134,The king prepared to wage a war with Egypt.,,,
135,Theta Grids 1:135,John prepared to read a book.,,,
136,Theta Grids 1:136,Mary prepared a meal for John.,,,
137,Theta Grids 1:137,John pretended to be sick.,,,
138,Theta Grids 1:138,The tree produced fruit for John.,,,
139,Theta Grids 1:139,John promised Mary that he would read a book.,,,
140,Theta Grids 1:140,John protected Mary from a lion.,,,
141,Theta Grids 1:141,John protected Mary from drowning.,,,
142,Theta Grids 1:142,Mary proved that John read a book.,,,
143,Theta Grids 1:143,The horses pulled the chariots to Jericho.,,,
144,Theta Grids 1:144,John pulled the leaves off from the tree.,,,
145,Theta Grids 1:145,The king punished his slaves.,,,
146,Theta Grids 1:146,John put the plates in a box for Mary.,,,
147,Theta Grids 1:147,John put clothes on.,,,
148,Theta Grids 1:148,John raced Mary to the tree.,,,
149,Theta Grids 1:149,Mary read a book to John.,,,
150,Theta Grids 1:150,John read about the weather.,,,
151,Theta Grids 1:151,Mary realized that John read a book.,,,
152,Theta Grids 1:152,John refused to read a book.,,,
153,Theta Grids 1:153,John regrets reading that book.,,,
154,Theta Grids 1:154,Mary remembered that John read a book.,,,
155,Theta Grids 1:155,John respected Mary.,,,
156,Theta Grids 1:156,John returned from the mountain to his house.,,,
157,Theta Grids 1:157,John returned to his friend.,,,
158,Theta Grids 1:158,John returned the book to Mary.,,,
159,Theta Grids 1:159,John rode a horse from Jerusalem to Jericho.,,,
160,Theta Grids 1:160,The sun rose.,,,
161,Theta Grids 1:161,John ran from his house to the mountain.,,,
162,Theta Grids 1:162,The king ruled the country.,,,
163,Theta Grids 1:163,John said many things to Mary.,,,
164,Theta Grids 1:164,John said that Mary went to her house.,,,
165,Theta Grids 1:165,John saved Mary from the lion.,,,
166,Theta Grids 1:166,John searched for Mary.,,,
167,Theta Grids 1:167,John saw that Mary was healthy.,,,
168,Theta Grids 1:168,Mary sold a book to John.,,,
169,Theta Grids 1:169,The king sent his soldiers to Egypt.,,,
170,Theta Grids 1:170,John sent a letter to Mary.,,,
171,Theta Grids 1:171,The king's servants served Mary.,,,
