ID,Reference,Verse,Notes,NoteFonts,Residue
1,Verb 1:1,John walked.,,,
2,Verb 1:2,John is walking.,,,
3,Verb 1:3,John will walk.,,,
4,Verb 1:4,John started walking.,,,
5,Verb 1:5,John stopped walking.,,,
6,Verb 1:6,John continued walking.,,,
7,Verb 1:7,John finished walking.,,,
8,Verb 1:8,John was walking.~!~(NP John ) (VP was[Pre-Verbal] walk+ing[Participle] ) . ,,,
9,Verb 1:9,John walked.~!~(NP John ) (VP walk+ed[Past_Tense] ) . ,,,
10,Verb 1:10,John walks.,,,
11,Verb 1:11,John will definitely walk.,,,
12,Verb 1:12,John will probably walk.,,,
13,Verb 1:13,John might walk.,,,
14,Verb 1:14,John probably won't walk.~!~(NP John ) (VP probably_won`t[Pre-Verbal] walk ) . ,,,
15,Verb 1:15,John definitely won't walk.~!~(NP John ) (VP definitely_won`t[Pre-Verbal] walk ) . ,,,
16,Verb 1:16,John has to walk.,,,
17,Verb 1:17,John should walk.,,,
18,Verb 1:18,John shouldn't walk.~!~(NP John ) (VP shouldn`t[Pre-Verbal] walk ) . ,,,
19,Verb 1:19,John must not walk.,,,
20,Verb 1:20,John may walk.,,,
21,Verb 1:21,John didn't walk.,,,
22,Verb 1:22,John certainly didn't walk.,,,
23,Verb 1:23,John certainly walked.,,,
24,Verb 1:24,John was sitting.,,,
25,Verb 1:25,John had walked.,,,
26,Verb 1:26,John read this book.John read this book.~!~(NP John ) (VP read ) (NP this[Pre-Nominal] book ) . ,,,
27,Verb 1:27,This book was read by John.This book was read by John.,,,
28,Verb 1:28,,,,
29,Verb 1:29,,,,
30,Verb 1:30,,,,
31,Verb 1:31,,,,
32,Verb 1:32,,,,
33,Verb 1:33,,,,
34,Verb 1:34,,,,
35,Verb 1:35,,,,
36,Verb 1:36,,,,
37,Verb 1:37,,,,
38,Verb 1:38,,,,
39,Verb 1:39,,,,
40,Verb 1:40,,,,
41,Verb 1:41,,,,
42,Verb 1:42,,,,
43,Verb 1:43,,,,
44,Verb 1:44,,,,
45,Verb 1:45,,,,
46,Verb 1:46,,,,
47,Verb 1:47,,,,
48,Verb 1:48,,,,
49,Verb 1:49,,,,
50,Verb 1:50,,,,
51,Verb 1:51,,,,
52,Verb 1:52,,,,
53,Verb 1:53,,,,
54,Verb 1:54,,,,
55,Verb 1:55,,,,
56,Verb 1:56,,,,
57,Verb 1:57,,,,
58,Verb 1:58,,,,
59,Verb 1:59,,,,
60,Verb 1:60,,,,
61,Verb 1:61,,,,
62,Verb 1:62,,,,
63,Verb 1:63,,,,
64,Verb 1:64,,,,
65,Verb 1:65,,,,
66,Verb 1:66,,,,
67,Verb 1:67,,,,
68,Verb 1:68,,,,
69,Verb 1:69,,,,
70,Verb 1:70,,,,
