ID,Reference,Verse,Notes,NoteFonts,Residue
1,Adjective 1:1,,,,
2,Adjective 1:2,,,,
3,Adjective 1:3,,,,
4,Adjective 1:4,,,,
5,Adjective 1:5,,,,
6,Adjective 1:6,,,,
7,Adjective 1:7,,,,
8,Adjective 1:8,,,,
9,Adjective 1:9,,,,
10,Adjective 1:10,,,,
11,Adjective 1:11,,,,
12,Adjective 1:12,,,,
13,Adjective 1:13,,,,
14,Adjective 1:14,,,,
15,Adjective 1:15,,,,
16,Adjective 1:16,,,,
17,Adjective 1:17,,,,
18,Adjective 1:18,,,,
19,Adjective 1:19,,,,
20,Adjective 1:20,,,,
21,Adjective 1:21,,,,
22,Adjective 1:22,,,,
23,Adjective 1:23,,,,
24,Adjective 1:24,,,,
25,Adjective 1:25,,,,
26,Adjective 1:26,,,,
27,Adjective 1:27,,,,
28,Adjective 1:28,,,,
29,Adjective 1:29,,,,
30,Adjective 1:30,,,,
31,Adjective 1:31,,,,
32,Adjective 1:32,,,,
33,Adjective 1:33,,,,
34,Adjective 1:34,,,,
35,Adjective 1:35,,,,
36,Adjective 1:36,,,,
37,Adjective 1:37,,,,
38,Adjective 1:38,,,,
39,Adjective 1:39,,,,
40,Adjective 1:40,,,,
41,Adjective 1:41,,,,
42,Adjective 1:42,,,,
43,Adjective 1:43,,,,
44,Adjective 1:44,,,,
45,Adjective 1:45,,,,
46,Adjective 1:46,,,,
47,Adjective 1:47,,,,
48,Adjective 1:48,,,,
49,Adjective 1:49,,,,
50,Adjective 1:50,,,,
51,Adjective 1:51,,,,
52,Adjective 1:52,,,,
53,Adjective 1:53,,,,
54,Adjective 1:54,,,,
55,Adjective 1:55,,,,
56,Adjective 1:56,,,,
57,Adjective 1:57,,,,
58,Adjective 1:58,,,,
59,Adjective 1:59,,,,
60,Adjective 1:60,,,,
61,Adjective 1:61,,,,
62,Adjective 1:62,,,,
63,Adjective 1:63,,,,
64,Adjective 1:64,,,,
65,Adjective 1:65,,,,
66,Adjective 1:66,,,,
67,Adjective 1:67,,,,
68,Adjective 1:68,,,,
69,Adjective 1:69,,,,
70,Adjective 1:70,,,,
