ID,Reference,Verse,Notes,NoteFonts,Residue
1,Clause 1:1,,,,
2,Clause 1:2,,,,
3,Clause 1:3,,,,
4,Clause 1:4,,,,
5,Clause 1:5,,,,
6,Clause 1:6,,,,
7,Clause 1:7,,,,
8,Clause 1:8,,,,
9,Clause 1:9,,,,
10,Clause 1:10,,,,
11,Clause 1:11,,,,
12,Clause 1:12,,,,
13,Clause 1:13,,,,
14,Clause 1:14,,,,
15,Clause 1:15,,,,
16,Clause 1:16,,,,
17,Clause 1:17,,,,
18,Clause 1:18,,,,
19,Clause 1:19,,,,
20,Clause 1:20,,,,
21,Clause 1:21,,,,
22,Clause 1:22,,,,
23,Clause 1:23,,,,
24,Clause 1:24,,,,
25,Clause 1:25,,,,
26,Clause 1:26,,,,
27,Clause 1:27,,,,
28,Clause 1:28,,,,
29,Clause 1:29,,,,
30,Clause 1:30,,,,
31,Clause 1:31,,,,
32,Clause 1:32,,,,
33,Clause 1:33,,,,
34,Clause 1:34,,,,
35,Clause 1:35,,,,
36,Clause 1:36,,,,
37,Clause 1:37,,,,
38,Clause 1:38,,,,
39,Clause 1:39,,,,
40,Clause 1:40,,,,
41,Clause 1:41,,,,
42,Clause 1:42,,,,
43,Clause 1:43,,,,
44,Clause 1:44,,,,
45,Clause 1:45,,,,
46,Clause 1:46,,,,
47,Clause 1:47,,,,
48,Clause 1:48,,,,
49,Clause 1:49,,,,
50,Clause 1:50,,,,
51,Clause 1:51,,,,
52,Clause 1:52,,,,
53,Clause 1:53,,,,
54,Clause 1:54,,,,
55,Clause 1:55,,,,
56,Clause 1:56,,,,
57,Clause 1:57,,,,
58,Clause 1:58,,,,
59,Clause 1:59,,,,
60,Clause 1:60,,,,
61,Clause 1:61,,,,
62,Clause 1:62,,,,
63,Clause 1:63,,,,
64,Clause 1:64,,,,
65,Clause 1:65,,,,
66,Clause 1:66,,,,
67,Clause 1:67,,,,
68,Clause 1:68,,,,
69,Clause 1:69,,,,
70,Clause 1:70,,,,
