ID,Reference,Verse,Notes,NoteFonts,Residue
1,NounPhrase 1:1,,,,
2,NounPhrase 1:2,,,,
3,NounPhrase 1:3,,,,
4,NounPhrase 1:4,,,,
5,NounPhrase 1:5,,,,
6,NounPhrase 1:6,,,,
7,NounPhrase 1:7,,,,
8,NounPhrase 1:8,,,,
9,NounPhrase 1:9,,,,
10,NounPhrase 1:10,,,,
11,NounPhrase 1:11,,,,
12,NounPhrase 1:12,,,,
13,NounPhrase 1:13,,,,
14,NounPhrase 1:14,,,,
15,NounPhrase 1:15,,,,
16,NounPhrase 1:16,,,,
17,NounPhrase 1:17,,,,
18,NounPhrase 1:18,,,,
19,NounPhrase 1:19,,,,
20,NounPhrase 1:20,,,,
21,NounPhrase 1:21,,,,
22,NounPhrase 1:22,,,,
23,NounPhrase 1:23,,,,
24,NounPhrase 1:24,,,,
25,NounPhrase 1:25,,,,
26,NounPhrase 1:26,,,,
27,NounPhrase 1:27,,,,
28,NounPhrase 1:28,,,,
29,NounPhrase 1:29,,,,
30,NounPhrase 1:30,,,,
31,NounPhrase 1:31,,,,
32,NounPhrase 1:32,,,,
33,NounPhrase 1:33,,,,
34,NounPhrase 1:34,,,,
35,NounPhrase 1:35,,,,
36,NounPhrase 1:36,,,,
37,NounPhrase 1:37,,,,
38,NounPhrase 1:38,,,,
39,NounPhrase 1:39,,,,
40,NounPhrase 1:40,,,,
41,NounPhrase 1:41,,,,
42,NounPhrase 1:42,,,,
43,NounPhrase 1:43,,,,
44,NounPhrase 1:44,,,,
45,NounPhrase 1:45,,,,
46,NounPhrase 1:46,,,,
47,NounPhrase 1:47,,,,
48,NounPhrase 1:48,,,,
49,NounPhrase 1:49,,,,
50,NounPhrase 1:50,,,,
51,NounPhrase 1:51,,,,
52,NounPhrase 1:52,,,,
53,NounPhrase 1:53,,,,
54,NounPhrase 1:54,,,,
55,NounPhrase 1:55,,,,
56,NounPhrase 1:56,,,,
57,NounPhrase 1:57,,,,
58,NounPhrase 1:58,,,,
59,NounPhrase 1:59,,,,
60,NounPhrase 1:60,,,,
61,NounPhrase 1:61,,,,
62,NounPhrase 1:62,,,,
63,NounPhrase 1:63,,,,
64,NounPhrase 1:64,,,,
65,NounPhrase 1:65,,,,
66,NounPhrase 1:66,,,,
67,NounPhrase 1:67,,,,
68,NounPhrase 1:68,,,,
69,NounPhrase 1:69,,,,
70,NounPhrase 1:70,,,,
