ID,Reference,Verse,Notes,NoteFonts,Residue
1,Noun 1:1,,,,
2,Noun 1:2,,,,
3,Noun 1:3,,,,
4,Noun 1:4,,,,
5,Noun 1:5,,,,
6,Noun 1:6,,,,
7,Noun 1:7,,,,
8,Noun 1:8,,,,
9,Noun 1:9,,,,
10,Noun 1:10,,,,
11,Noun 1:11,,,,
12,Noun 1:12,,,,
13,Noun 1:13,,,,
14,Noun 1:14,,,,
15,Noun 1:15,,,,
16,Noun 1:16,,,,
17,Noun 1:17,,,,
18,Noun 1:18,,,,
19,Noun 1:19,,,,
20,Noun 1:20,,,,
21,Noun 1:21,,,,
22,Noun 1:22,,,,
23,Noun 1:23,,,,
24,Noun 1:24,,,,
25,Noun 1:25,,,,
26,Noun 1:26,,,,
27,Noun 1:27,,,,
28,Noun 1:28,,,,
29,Noun 1:29,,,,
30,Noun 1:30,,,,
31,Noun 1:31,,,,
32,Noun 1:32,,,,
33,Noun 1:33,,,,
34,Noun 1:34,,,,
35,Noun 1:35,,,,
36,Noun 1:36,,,,
37,Noun 1:37,,,,
38,Noun 1:38,,,,
39,Noun 1:39,,,,
40,Noun 1:40,,,,
41,Noun 1:41,,,,
42,Noun 1:42,,,,
43,Noun 1:43,,,,
44,Noun 1:44,,,,
45,Noun 1:45,,,,
46,Noun 1:46,,,,
47,Noun 1:47,,,,
48,Noun 1:48,,,,
49,Noun 1:49,,,,
50,Noun 1:50,,,,
51,Noun 1:51,,,,
52,Noun 1:52,,,,
53,Noun 1:53,,,,
54,Noun 1:54,,,,
55,Noun 1:55,,,,
56,Noun 1:56,,,,
57,Noun 1:57,,,,
58,Noun 1:58,,,,
59,Noun 1:59,,,,
60,Noun 1:60,,,,
61,Noun 1:61,,,,
62,Noun 1:62,,,,
63,Noun 1:63,,,,
64,Noun 1:64,,,,
65,Noun 1:65,,,,
66,Noun 1:66,,,,
67,Noun 1:67,,,,
68,Noun 1:68,,,,
69,Noun 1:69,,,,
70,Noun 1:70,,,,
