ID,Reference,Verse,Notes,NoteFonts,Residue
1,John 1:1,,,,
2,John 1:2,,,,
3,John 1:3,,,,
4,John 1:4,,,,
5,John 1:5,,,,
6,John 1:6,,,,
7,John 1:7,,,,
8,John 1:8,,,,
9,John 1:9,,,,
10,John 1:10,,,,
11,John 1:11,,,,
12,John 1:12,,,,
13,John 1:13,,,,
14,John 1:14,,,,
15,John 1:15,,,,
16,John 1:16,,,,
17,John 1:17,,,,
18,John 1:18,,,,
19,John 1:19,,,,
20,John 1:20,,,,
21,John 1:21,,,,
22,John 1:22,,,,
23,John 1:23,,,,
24,John 1:24,,,,
25,John 1:25,,,,
26,John 1:26,,,,
27,John 1:27,,,,
28,John 1:28,,,,
29,John 1:29,,,,
30,John 1:30,,,,
31,John 1:31,,,,
32,John 1:32,,,,
33,John 1:33,,,,
34,John 1:34,,,,
35,John 1:35,,,,
36,John 1:36,,,,
37,John 1:37,,,,
38,John 1:38,,,,
39,John 1:39,,,,
40,John 1:40,,,,
41,John 1:41,,,,
42,John 1:42,,,,
43,John 1:43,,,,
44,John 1:44,,,,
45,John 1:45,,,,
46,John 1:46,,,,
47,John 1:47,,,,
48,John 1:48,,,,
49,John 1:49,,,,
50,John 1:50,,,,
51,John 1:51,,,,
52,John 2:1,,,,
53,John 2:2,,,,
54,John 2:3,,,,
55,John 2:4,,,,
56,John 2:5,,,,
57,John 2:6,,,,
58,John 2:7,,,,
59,John 2:8,,,,
60,John 2:9,,,,
61,John 2:10,,,,
62,John 2:11,,,,
63,John 2:12,,,,
64,John 2:13,,,,
65,John 2:14,,,,
66,John 2:15,,,,
67,John 2:16,,,,
68,John 2:17,,,,
69,John 2:18,,,,
70,John 2:19,,,,
71,John 2:20,,,,
72,John 2:21,,,,
73,John 2:22,,,,
74,John 2:23,,,,
75,John 2:24,,,,
76,John 2:25,,,,
77,John 3:1,,,,
78,John 3:2,,,,
79,John 3:3,,,,
80,John 3:4,,,,
81,John 3:5,,,,
82,John 3:6,,,,
83,John 3:7,,,,
84,John 3:8,,,,
85,John 3:9,,,,
86,John 3:10,,,,
87,John 3:11,,,,
88,John 3:12,,,,
89,John 3:13,,,,
90,John 3:14,,,,
91,John 3:15,,,,
92,John 3:16,,,,
93,John 3:17,,,,
94,John 3:18,,,,
95,John 3:19,,,,
96,John 3:20,,,,
97,John 3:21,,,,
98,John 3:22,,,,
99,John 3:23,,,,
100,John 3:24,,,,
101,John 3:25,,,,
102,John 3:26,,,,
103,John 3:27,,,,
104,John 3:28,,,,
105,John 3:29,,,,
106,John 3:30,,,,
107,John 3:31,,,,
108,John 3:32,,,,
109,John 3:33,,,,
110,John 3:34,,,,
111,John 3:35,,,,
112,John 3:36,,,,
113,John 4:1,,,,
114,John 4:2,,,,
115,John 4:3,,,,
116,John 4:4,,,,
117,John 4:5,,,,
118,John 4:6,,,,
119,John 4:7,,,,
120,John 4:8,,,,
121,John 4:9,,,,
122,John 4:10,,,,
123,John 4:11,,,,
124,John 4:12,,,,
125,John 4:13,,,,
126,John 4:14,,,,
127,John 4:15,,,,
128,John 4:16,,,,
129,John 4:17,,,,
130,John 4:18,,,,
131,John 4:19,,,,
132,John 4:20,,,,
133,John 4:21,,,,
134,John 4:22,,,,
135,John 4:23,,,,
136,John 4:24,,,,
137,John 4:25,,,,
138,John 4:26,,,,
139,John 4:27,,,,
140,John 4:28,,,,
141,John 4:29,,,,
142,John 4:30,,,,
143,John 4:31,,,,
144,John 4:32,,,,
145,John 4:33,,,,
146,John 4:34,,,,
147,John 4:35,,,,
148,John 4:36,,,,
149,John 4:37,,,,
150,John 4:38,,,,
151,John 4:39,,,,
152,John 4:40,,,,
153,John 4:41,,,,
154,John 4:42,,,,
155,John 4:43,,,,
156,John 4:44,,,,
157,John 4:45,,,,
158,John 4:46,,,,
159,John 4:47,,,,
160,John 4:48,,,,
161,John 4:49,,,,
162,John 4:50,,,,
163,John 4:51,,,,
164,John 4:52,,,,
165,John 4:53,,,,
166,John 4:54,,,,
167,John 5:1,,,,
168,John 5:2,,,,
169,John 5:3,,,,
170,John 5:4,,,,
171,John 5:5,,,,
172,John 5:6,,,,
173,John 5:7,,,,
174,John 5:8,,,,
175,John 5:9,,,,
176,John 5:10,,,,
177,John 5:11,,,,
178,John 5:12,,,,
179,John 5:13,,,,
180,John 5:14,,,,
181,John 5:15,,,,
182,John 5:16,,,,
183,John 5:17,,,,
184,John 5:18,,,,
185,John 5:19,,,,
186,John 5:20,,,,
187,John 5:21,,,,
188,John 5:22,,,,
189,John 5:23,,,,
190,John 5:24,,,,
191,John 5:25,,,,
192,John 5:26,,,,
193,John 5:27,,,,
194,John 5:28,,,,
195,John 5:29,,,,
196,John 5:30,,,,
197,John 5:31,,,,
198,John 5:32,,,,
199,John 5:33,,,,
200,John 5:34,,,,
201,John 5:35,,,,
202,John 5:36,,,,
203,John 5:37,,,,
204,John 5:38,,,,
205,John 5:39,,,,
206,John 5:40,,,,
207,John 5:41,,,,
208,John 5:42,,,,
209,John 5:43,,,,
210,John 5:44,,,,
211,John 5:45,,,,
212,John 5:46,,,,
213,John 5:47,,,,
214,John 6:1,,,,
215,John 6:2,,,,
216,John 6:3,,,,
217,John 6:4,,,,
218,John 6:5,,,,
219,John 6:6,,,,
220,John 6:7,,,,
221,John 6:8,,,,
222,John 6:9,,,,
223,John 6:10,,,,
224,John 6:11,,,,
225,John 6:12,,,,
226,John 6:13,,,,
227,John 6:14,,,,
228,John 6:15,,,,
229,John 6:16,,,,
230,John 6:17,,,,
231,John 6:18,,,,
232,John 6:19,,,,
233,John 6:20,,,,
234,John 6:21,,,,
235,John 6:22,,,,
236,John 6:23,,,,
237,John 6:24,,,,
238,John 6:25,,,,
239,John 6:26,,,,
240,John 6:27,,,,
241,John 6:28,,,,
242,John 6:29,,,,
243,John 6:30,,,,
244,John 6:31,,,,
245,John 6:32,,,,
246,John 6:33,,,,
247,John 6:34,,,,
248,John 6:35,,,,
249,John 6:36,,,,
250,John 6:37,,,,
251,John 6:38,,,,
252,John 6:39,,,,
253,John 6:40,,,,
254,John 6:41,,,,
255,John 6:42,,,,
256,John 6:43,,,,
257,John 6:44,,,,
258,John 6:45,,,,
259,John 6:46,,,,
260,John 6:47,,,,
261,John 6:48,,,,
262,John 6:49,,,,
263,John 6:50,,,,
264,John 6:51,,,,
265,John 6:52,,,,
266,John 6:53,,,,
267,John 6:54,,,,
268,John 6:55,,,,
269,John 6:56,,,,
270,John 6:57,,,,
271,John 6:58,,,,
272,John 6:59,,,,
273,John 6:60,,,,
274,John 6:61,,,,
275,John 6:62,,,,
276,John 6:63,,,,
277,John 6:64,,,,
278,John 6:65,,,,
279,John 6:66,,,,
280,John 6:67,,,,
281,John 6:68,,,,
282,John 6:69,,,,
283,John 6:70,,,,
284,John 6:71,,,,
285,John 7:1,,,,
286,John 7:2,,,,
287,John 7:3,,,,
288,John 7:4,,,,
289,John 7:5,,,,
