ID,Reference,Verse,Notes,NoteFonts,Residue
1,Genesis 1:1,,,,
2,Genesis 1:2,,,,
3,Genesis 1:3,,,,
4,Genesis 1:4,,,,
5,Genesis 1:5,,,,
6,Genesis 1:6,,,,
7,Genesis 1:7,,,,
8,Genesis 1:8,,,,
9,Genesis 1:9,,,,
10,Genesis 1:10,,,,
11,Genesis 1:11,,,,
12,Genesis 1:12,,,,
13,Genesis 1:13,,,,
14,Genesis 1:14,,,,
15,Genesis 1:15,,,,
16,Genesis 1:16,,,,
17,Genesis 1:17,,,,
18,Genesis 1:18,,,,
19,Genesis 1:19,,,,
20,Genesis 1:20,,,,
21,Genesis 1:21,,,,
22,Genesis 1:22,,,,
23,Genesis 1:23,,,,
24,Genesis 1:24,,,,
25,Genesis 1:25,,,,
26,Genesis 1:26,,,,
27,Genesis 1:27,,,,
28,Genesis 1:28,,,,
29,Genesis 1:29,,,,
30,Genesis 1:30,,,,
31,Genesis 1:31,,,,
32,Genesis 2:1,,,,
33,Genesis 2:2,,,,
34,Genesis 2:3,,,,
35,Genesis 2:4,,,,
36,Genesis 2:5,,,,
37,Genesis 2:6,,,,
38,Genesis 2:7,,,,
39,Genesis 2:8,,,,
40,Genesis 2:9,,,,
41,Genesis 2:10,,,,
42,Genesis 2:11,,,,
43,Genesis 2:12,,,,
44,Genesis 2:13,,,,
45,Genesis 2:14,,,,
46,Genesis 2:15,,,,
47,Genesis 2:16,,,,
48,Genesis 2:17,,,,
49,Genesis 2:18,,,,
50,Genesis 2:19,,,,
51,Genesis 2:20,,,,
52,Genesis 2:21,,,,
53,Genesis 2:22,,,,
54,Genesis 2:23,,,,
55,Genesis 2:24,,,,
56,Genesis 2:25,,,,
57,Genesis 3:1,,,,
58,Genesis 3:2,,,,
59,Genesis 3:3,,,,
60,Genesis 3:4,,,,
61,Genesis 3:5,,,,
62,Genesis 3:6,,,,
63,Genesis 3:7,,,,
64,Genesis 3:8,,,,
65,Genesis 3:9,,,,
66,Genesis 3:10,,,,
67,Genesis 3:11,,,,
68,Genesis 3:12,,,,
69,Genesis 3:13,,,,
70,Genesis 3:14,,,,
71,Genesis 3:15,,,,
72,Genesis 3:16,,,,
73,Genesis 3:17,,,,
74,Genesis 3:18,,,,
75,Genesis 3:19,,,,
76,Genesis 3:20,,,,
77,Genesis 3:21,,,,
78,Genesis 3:22,,,,
79,Genesis 3:23,,,,
80,Genesis 3:24,,,,
81,Genesis 4:1,,,,
82,Genesis 4:2,,,,
83,Genesis 4:3,,,,
84,Genesis 4:4,,,,
85,Genesis 4:5,,,,
86,Genesis 4:6,,,,
87,Genesis 4:7,,,,
88,Genesis 4:8,,,,
89,Genesis 4:9,,,,
90,Genesis 4:10,,,,
91,Genesis 4:11,,,,
92,Genesis 4:12,,,,
93,Genesis 4:13,,,,
94,Genesis 4:14,,,,
95,Genesis 4:15,,,,
96,Genesis 4:16,,,,
97,Genesis 4:17,,,,
98,Genesis 4:18,,,,
99,Genesis 4:19,,,,
100,Genesis 4:20,,,,
101,Genesis 4:21,,,,
102,Genesis 4:22,,,,
103,Genesis 4:23,,,,
104,Genesis 4:24,,,,
105,Genesis 4:25,,,,
106,Genesis 4:26,,,,
107,Genesis 5:1,,,,
108,Genesis 5:2,,,,
109,Genesis 5:3,,,,
110,Genesis 5:4,,,,
111,Genesis 5:5,,,,
112,Genesis 5:6,,,,
113,Genesis 5:7,,,,
114,Genesis 5:8,,,,
115,Genesis 5:9,,,,
116,Genesis 5:10,,,,
117,Genesis 5:11,,,,
118,Genesis 5:12,,,,
119,Genesis 5:13,,,,
120,Genesis 5:14,,,,
121,Genesis 5:15,,,,
122,Genesis 5:16,,,,
123,Genesis 5:17,,,,
124,Genesis 5:18,,,,
125,Genesis 5:19,,,,
126,Genesis 5:20,,,,
127,Genesis 5:21,,,,
128,Genesis 5:22,,,,
129,Genesis 5:23,,,,
130,Genesis 5:24,,,,
131,Genesis 5:25,,,,
132,Genesis 5:26,,,,
133,Genesis 5:27,,,,
134,Genesis 5:28,,,,
135,Genesis 5:29,,,,
136,Genesis 5:30,,,,
137,Genesis 5:31,,,,
138,Genesis 5:32,,,,
139,Genesis 6:1,,,,
140,Genesis 6:2,,,,
141,Genesis 6:3,,,,
142,Genesis 6:4,,,,
143,Genesis 6:5,,,,
144,Genesis 6:6,,,,
145,Genesis 6:7,,,,
146,Genesis 6:8,,,,
147,Genesis 6:9,,,,
148,Genesis 6:10,,,,
149,Genesis 6:11,,,,
150,Genesis 6:12,,,,
151,Genesis 6:13,,,,
152,Genesis 6:14,,,,
153,Genesis 6:15,,,,
154,Genesis 6:16,,,,
155,Genesis 6:17,,,,
156,Genesis 6:18,,,,
157,Genesis 6:19,,,,
158,Genesis 6:20,,,,
159,Genesis 6:21,,,,
160,Genesis 6:22,,,,
161,Genesis 7:1,,,,
162,Genesis 7:2,,,,
163,Genesis 7:3,,,,
164,Genesis 7:4,,,,
165,Genesis 7:5,,,,
166,Genesis 7:6,,,,
167,Genesis 7:7,,,,
168,Genesis 7:8,,,,
169,Genesis 7:9,,,,
170,Genesis 7:10,,,,
171,Genesis 7:11,,,,
172,Genesis 7:12,,,,
173,Genesis 7:13,,,,
174,Genesis 7:14,,,,
175,Genesis 7:15,,,,
176,Genesis 7:16,,,,
177,Genesis 7:17,,,,
178,Genesis 7:18,,,,
179,Genesis 7:19,,,,
180,Genesis 7:20,,,,
181,Genesis 7:21,,,,
182,Genesis 7:22,,,,
183,Genesis 7:23,,,,
184,Genesis 7:24,,,,
185,Genesis 8:1,,,,
186,Genesis 8:2,,,,
187,Genesis 8:3,,,,
188,Genesis 8:4,,,,
189,Genesis 8:5,,,,
190,Genesis 8:6,,,,
191,Genesis 8:7,,,,
192,Genesis 8:8,,,,
193,Genesis 8:9,,,,
194,Genesis 8:10,,,,
195,Genesis 8:11,,,,
196,Genesis 8:12,,,,
197,Genesis 8:13,,,,
198,Genesis 8:14,,,,
199,Genesis 8:15,,,,
200,Genesis 8:16,,,,
201,Genesis 8:17,,,,
202,Genesis 8:18,,,,
203,Genesis 8:19,,,,
204,Genesis 8:20,,,,
205,Genesis 8:21,,,,
206,Genesis 8:22,,,,
207,Genesis 9:1,,,,
208,Genesis 9:2,,,,
209,Genesis 9:3,,,,
210,Genesis 9:4,,,,
211,Genesis 9:5,,,,
212,Genesis 9:6,,,,
213,Genesis 9:7,,,,
214,Genesis 9:8,,,,
215,Genesis 9:9,,,,
216,Genesis 9:10,,,,
217,Genesis 9:11,,,,
218,Genesis 9:12,,,,
219,Genesis 9:13,,,,
220,Genesis 9:14,,,,
221,Genesis 9:15,,,,
222,Genesis 9:16,,,,
223,Genesis 9:17,,,,
224,Genesis 9:18,,,,
225,Genesis 9:19,,,,
226,Genesis 9:20,,,,
227,Genesis 9:21,,,,
228,Genesis 9:22,,,,
229,Genesis 9:23,,,,
230,Genesis 9:24,,,,
231,Genesis 9:25,,,,
232,Genesis 9:26,,,,
233,Genesis 9:27,,,,
234,Genesis 9:28,,,,
235,Genesis 9:29,,,,
236,Genesis 10:1,,,,
237,Genesis 10:2,,,,
238,Genesis 10:3,,,,
239,Genesis 10:4,,,,
240,Genesis 10:5,,,,
241,Genesis 10:6,,,,
242,Genesis 10:7,,,,
243,Genesis 10:8,,,,
244,Genesis 10:9,,,,
245,Genesis 10:10,,,,
246,Genesis 10:11,,,,
247,Genesis 10:12,,,,
248,Genesis 10:13,,,,
249,Genesis 10:14,,,,
250,Genesis 10:15,,,,
251,Genesis 10:16,,,,
252,Genesis 10:17,,,,
253,Genesis 10:18,,,,
254,Genesis 10:19,,,,
255,Genesis 10:20,,,,
256,Genesis 10:21,,,,
257,Genesis 10:22,,,,
258,Genesis 10:23,,,,
259,Genesis 10:24,,,,
260,Genesis 10:25,,,,
261,Genesis 10:26,,,,
262,Genesis 10:27,,,,
263,Genesis 10:28,,,,
264,Genesis 10:29,,,,
265,Genesis 10:30,,,,
266,Genesis 10:31,,,,
267,Genesis 10:32,,,,
268,Genesis 11:1,,,,
269,Genesis 11:2,,,,
270,Genesis 11:3,,,,
271,Genesis 11:4,,,,
272,Genesis 11:5,,,,
273,Genesis 11:6,,,,
274,Genesis 11:7,,,,
275,Genesis 11:8,,,,
276,Genesis 11:9,,,,
277,Genesis 11:10,,,,
278,Genesis 11:11,,,,
279,Genesis 11:12,,,,
280,Genesis 11:13,,,,
281,Genesis 11:14,,,,
282,Genesis 11:15,,,,
283,Genesis 11:16,,,,
284,Genesis 11:17,,,,
285,Genesis 11:18,,,,
286,Genesis 11:19,,,,
287,Genesis 11:20,,,,
288,Genesis 11:21,,,,
289,Genesis 11:22,,,,
290,Genesis 11:23,,,,
291,Genesis 11:24,,,,
292,Genesis 11:25,,,,
293,Genesis 11:26,,,,
294,Genesis 11:27,,,,
295,Genesis 11:28,,,,
296,Genesis 11:29,,,,
297,Genesis 11:30,,,,
298,Genesis 11:31,,,,
299,Genesis 11:32,,,,
300,Genesis 12:1,,,,
301,Genesis 12:2,,,,
302,Genesis 12:3,,,,
303,Genesis 12:4,,,,
304,Genesis 12:5,,,,
305,Genesis 12:6,,,,
306,Genesis 12:7,,,,
307,Genesis 12:8,,,,
308,Genesis 12:9,,,,
309,Genesis 12:10,,,,
310,Genesis 12:11,,,,
311,Genesis 12:12,,,,
312,Genesis 12:13,,,,
313,Genesis 12:14,,,,
314,Genesis 12:15,,,,
315,Genesis 12:16,,,,
316,Genesis 12:17,,,,
317,Genesis 12:18,,,,
318,Genesis 12:19,,,,
319,Genesis 12:20,,,,
320,Genesis 13:1,,,,
321,Genesis 13:2,,,,
322,Genesis 13:3,,,,
323,Genesis 13:4,,,,
324,Genesis 13:5,,,,
325,Genesis 13:6,,,,
