ID,Reference,Verse,Notes,NoteFonts,Residue
1868,The Bible Mini-series 3:412,,,,
1869,The Bible Mini-series 3:413,,,,
1870,The Bible Mini-series 3:414,,,,
1871,The Bible Mini-series 3:415,,,,
1872,The Bible Mini-series 3:416,,,,
1873,The Bible Mini-series 3:417,,,,
1874,The Bible Mini-series 3:418,,,,
1875,The Bible Mini-series 3:419,,,,
1876,The Bible Mini-series 3:420,,,,
1877,The Bible Mini-series 3:421,,,,
1878,The Bible Mini-series 3:422,,,,
1879,The Bible Mini-series 3:423,,,,
1880,The Bible Mini-series 3:424,,,,
1881,The Bible Mini-series 3:425,,,,
1882,The Bible Mini-series 3:426,,,,
1883,The Bible Mini-series 3:427,,,,
1884,The Bible Mini-series 3:428,,,,
1885,The Bible Mini-series 3:429,,,,
1886,The Bible Mini-series 3:430,,,,
1887,The Bible Mini-series 3:431,,,,
1888,The Bible Mini-series 3:432,,,,
1889,The Bible Mini-series 3:433,,,,
1890,The Bible Mini-series 3:434,,,,
1891,The Bible Mini-series 3:435,,,,
1892,The Bible Mini-series 3:436,,,,
1893,The Bible Mini-series 3:437,,,,
1894,The Bible Mini-series 3:438,,,,
1895,The Bible Mini-series 3:439,,,,
1896,The Bible Mini-series 3:440,,,,
1897,The Bible Mini-series 3:441,,,,
1898,The Bible Mini-series 3:442,,,,
1899,The Bible Mini-series 3:443,,,,
1900,The Bible Mini-series 3:444,,,,
1901,The Bible Mini-series 3:445,,,,
1902,The Bible Mini-series 3:446,,,,
1903,The Bible Mini-series 3:447,,,,
1904,The Bible Mini-series 3:448,,,,
1905,The Bible Mini-series 3:449,,,,
1906,The Bible Mini-series 3:450,,,,
1907,The Bible Mini-series 3:451,,,,
1908,The Bible Mini-series 3:452,,,,
1909,The Bible Mini-series 3:453,,,,
1910,The Bible Mini-series 3:454,,,,
1911,The Bible Mini-series 3:455,,,,
1912,The Bible Mini-series 3:456,,,,
1913,The Bible Mini-series 3:457,,,,
1914,The Bible Mini-series 3:458,,,,
1915,The Bible Mini-series 3:459,,,,
1916,The Bible Mini-series 3:460,,,,
1917,The Bible Mini-series 3:461,,,,
1918,The Bible Mini-series 3:462,,,,
1919,The Bible Mini-series 3:463,,,,
1920,The Bible Mini-series 3:464,,,,
1921,The Bible Mini-series 3:465,,,,
1922,The Bible Mini-series 3:466,,,,
1923,The Bible Mini-series 3:467,,,,
1924,The Bible Mini-series 3:468,,,,
1925,The Bible Mini-series 3:469,,,,
1926,The Bible Mini-series 3:470,,,,
1927,The Bible Mini-series 3:471,,,,
1928,The Bible Mini-series 3:472,,,,
1929,The Bible Mini-series 3:473,,,,
1930,The Bible Mini-series 3:474,,,,
1931,The Bible Mini-series 3:475,,,,
1932,The Bible Mini-series 3:476,,,,
1933,The Bible Mini-series 3:477,,,,
1934,The Bible Mini-series 3:478,,,,
1935,The Bible Mini-series 3:479,,,,
1936,The Bible Mini-series 3:480,,,,
1937,The Bible Mini-series 3:481,,,,
1938,The Bible Mini-series 3:482,,,,
1939,The Bible Mini-series 3:483,,,,
1940,The Bible Mini-series 3:484,,,,
1941,The Bible Mini-series 3:485,,,,
