ID,Mappings,Expansion Rule,Expansion Rule BreakPoint,Collocation Correction Rule,Comment,Comment Fonts,Expansion Rule Status
741,452,,0,,,,0
742,453,,0,,,,0
744,453,,0,,,,0
746,445,,0,,,,11100
748,454,,0,,,,0
749,454,,0,,,,
750,455,,0,,,,0
751,456,,0,,,,0
752,456,,0,,,,0
753,456,,0,,,,0
754,457,,0,,,,0
755,458,,0,,,,0
756,458,,0,,,,
757,459,,0,,,,0
758,460,,0,,,,0
759,461,,0,,,,0
760,479,,0,||animal-A|||||||||456||goat-A|||||||||456,  ,,11000
761,462,,0,||animal-A|animal-A||||||||456||goat-A|goat-A||||||||456,  ,,0
762,462,,0,,,,0
764,463,,0,,,,0
765,464,,0,,,,11100
766,466,,0,,,,0
767,466,,0,,,,0
768,467,,0,,,,0
769,467,,0,,,,0
770,468,,0,,,,0
771,468,,0,,,,0
773,468,,0,||chicken-A|||||||||391||rooster-A|||||||||391||lion-A|||||||||547||dog-A|||||||||562,  ,,0
774,469,,0,,,,0
775,469,,0,,,,0
776,469,,0,,,,0
777,469,,0,,,,0
778,469,,0,,,,0
779,470,,0,,,,11100
781,472,,0,,,,11100
782,473,,0,,,,0
783,473,,0,,,,0
784,473,,0,,,,0
785,474,,0,,,,0
786,475,,0,,,,0
787,476,,0,,,,0
788,477,,0,,,,0
789,478,,0,,,,11100
790,479,,0,,,,0
791,480,,0,,,,11100
792,481,,0,,,,0
793,481,,0,,,,0
794,481,,0,,,,0
795,482,,0,,,,11100
796,484,,0,,,,0
799,485,,0,,,,0
800,485,,0,,,,0
801,486,,0,,,,0
802,487,,0,,,,11100
803,488,,0,,,,11000
804,489,,0,,,,0
805,489,,0,,,,0
806,490,,0,,,,11100
807,491,,0,,,,0
808,492,,0,,,,11100
809,493,,0,,,,0
810,494,,0,,,,0
811,494,,0,,,,
812,495,,0,,,,11100
813,496,,0,,,,0
814,496,,0,,,,
815,497,,0,,,,11100
816,498,,0,,,,0
817,499,,0,,,,0
818,500,,0,,,,0
819,501,,0,,,,0
821,504,,0,,,,11100
822,506,,0,,,,0
823,507,,0,,,,
824,508,,0,,,,0
825,509,,0,,,,0
826,510,,0,,,,0
827,511,,0,,,,0
828,512,,0,,  ,,0
829,513,,0,,,,
830,513,,0,,,,
831,514,,0,,,,0
832,515,,0,,,,11100
833,516,,0,,,,0
834,517,,0,,,,0
835,,,0,,,,0
837,518,,0,,,,11100
838,519,,0,,,,11100
839,520,,0,,,,0
840,521,,0,,,,0
842,522,,0,|||blood-A||arm-A||||||399|||blood-A||chicken-A||||||399,  ,,0
843,522,,0,,,,0
844,522,,0,,,,0
845,522,,0,,,,
846,523,,0,,,,0
847,523,,0,,,,0
848,523,,0,,,,0
850,526,,0,,,,0
851,527,,0,,,,0
852,527,,0,,,,
854,528,,0,,,,0
855,529,,0,,,,0
857,529,,0,,,,0
858,529,,0,,,,0
