ID,Roots,Glosses,Occurrences,Comments,LN Base,LN Sense,LN Gloss,LN Definition,LN Note,LN Tag,Categories,Examples,Exhaustive Examples,Level,Expansion Rule,Expansion Rule Status,ParentID,Brief Gloss,Linguists Assistant
377355,abandon,,8,,,0,complex - to leave and forsake a person,,,,AB_______,"4,6,1,5|(NPA|Yahweh|)|(VP|abandon|)|(NPP|Joshua|)|~Yahweh did not abandon Joshua.",4|6|1|5|p|N|YahwehA|JoshuaA|||||||4|6|10|6|p|N|JoshuaA|servantA|||||||4|6|22|3|p|N|manA|IsraeliteA|||||||4|41|13|14|p|A|personA|templeA|||||||4|41|14|27|p|A|followerA|JesusA|||||||4|41|14|27|p|A|followerA|JesusA|||||||4|41|14|50|p|A|followerA|JesusA|||||||4|41|15|34|p|A|GodA|JesusA|||||||,2,,0,,,0
377357,accept,,8,,,0,"to accept a person, welcome him, not reject him",,,,AB____g__,"4,1,32,20|(NPA|Esau|)|(VP|accept|)|(NPP|Jacob|)|~Esau accepted Jacob.4,41,9,37|(NPA|person|)|(VP|accept|)|(NPP|child|)|(NPB|Jesus|)|~That person accepted the child for Jesus.",4|1|32|20|p|A|EsauA|JacobA|||||||4|1|33|10|p|A|EsauA|JacobA|||||||4|41|6|1|p|A|personA|JesusA|||||||4|41|8|31|P|N|leaderA|Son-of-ManA|||||||4|41|9|37|p|A|personA|childA|||||JesusA||4|41|9|37|p|A|personA|JesusA|||||||4|41|9|37|p|A|personA|FatherA|||||||4|42|17|25|p|N|personA|Son-of-ManA|||||||,1,,0,3,accept a person,1
377359,act,,74,,,0,to do a generic action,,,,A___e____,"4,27,3,16|(NPA|man|)|(VP|act|)|(aP|correctly|)|~The men acted correctly.4,17,1,16|(NPA|queen|)|(VP|act|)|(NPd|Xerxes|)|(aP|badly|)|~The queen acted badly toward you.",4|2|1|10|p|N|EgyptianA||||||||4|2|15|26|p|A|IsraeliteA||||||||4|2|18|17|p|N|MosesA||||||||4|2|23|8|p|N|IsraeliteA||||||||4|2|23|24|p|A|IsraeliteA||||||||4|2|23|24|p|A|personA||||||||4|7|9|16|p|A|personA||||||||4|7|11|27|p|A|AmmoniteA||||||||4|7|11|27|p|A|IsraeliteA||||||||4|9|21|13|p|A|DavidA||||||||4|9|21|13|p|A|manA||||||||4|9|26|21|p|A|SaulA||||||||4|10|6|22|p|A|DavidA||||||||4|10|6|22|p|A|manA||||||||4|16|1|7|p|A|NehemiahA||||YahwehA||||4|17|1|16|p|A|VashtiA||||||||4|27|3|16|p|A|manA||||||||4|41|10|43|p|A|followerA||||||||4|41|12|38|p|N|personA||||||||4|41|12|38|p|A|personA||||||||4|42|10|36|p|A|manA||||||||4|42|10|37|p|A|manA||||||||4|42|16|8|p|A|servantA||||||||4|42|16|8|p|A|personA||||||||4|42|17|26|p|A|personA||||||||4|42|17|26|p|A|personA||||||||4|42|17|28|p|A|personA||||||||4|42|17|28|p|A|personA||||||||4|49|4|1|p|A|personA||||||||4|49|4|1|p|A|personA||||||||4|49|4|17|p|A|personA||||||||4|49|4|17|p|A|personA||||||||4|49|5|1|p|A|personA||||||||4|49|5|1|p|A|GodA||||||||4|49|5|8|p|A|personA||||||||4|49|5|8|p|A|childA||||||||4|49|5|15|p|A|personA||||||||4|49|5|15|p|N|personA||||||||4|49|5|15|p|A|personA||||||||4|50|2|2|p|A|personA||||||||4|50|2|5|p|A|personA||||||||4|50|2|5|p|A|JesusA||||||||4|51|3|17|p|A|personA||||||||4|51|3|17|p|A|representativeA||||||||4|51|4|5|p|A|personA||||||||4|52|1|6|p|A|personA||||||||4|52|1|6|p|A|PaulA||||||||4|52|1|6|p|A|personA||||||||4|52|1|6|p|A|LordA||||||||4|52|1|7|p|A|personA||||||||4|52|1|7|p|A|personA||||||||4|52|1|7|p|A|personA||||||||4|52|1|7|p|A|personA||||||||4|52|4|1|p|A|personA||||||||4|52|4|1|p|A|personA||||||||4|52|4|1|p|A|personA||||||||4|52|4|1|p|A|personA||||||||4|52|5|8|p|A|personA||||||||4|52|5|13|p|A|personA||||personA||||4|52|5|19|p|A|Holy-SpiritA||||||||4|53|1|11|p|A|personA||||||||4|53|1|11|p|A|personA||||||||4|53|3|7|p|A|personA||||||||4|53|3|7|p|A|PaulA||||||||4|53|3|9|p|A|personA||||||||4|53|3|9|p|A|personA||||||||4|53|3|9|p|A|PaulA||||||||4|56|2|1|p|A|personA||||||||4|56|2|2|p|A|manA||||||||4|56|2|3|p|A|womanA||||||||4|56|2|3|p|A|personA||||||||4|56|2|12|p|A|PaulA||||||||4|56|2|12|p|A|PaulA||||||||4|56|3|1|p|A|personA||||||||,1,,0,2,,1
377361,admire,,0,,,0,to admire someone for doing something (John admired Mary for being brave.),,,,,,,1,,0,3,someone,1
377363,advise,,17,,,0,to give someone advice,,,,AB_______,"4,1,26,26|(NPA|Ahuzzath|)|(VP|advise|)|(NPP|Abimelech|)|~Ahuzzath advised Abimelech.",4|1|26|26|p|A|AhuzzathA|AbimelechA|||||||4|1|45|8|p|A|officialA|kingA|||||||4|2|18|19|p|A|JethroA|MosesA|||||||4|10|13|3|p|A|manA|AmnonA|||||||4|10|15|12|p|A|AhithophelA|DavidA|||||||4|10|15|34|p|A|AhithophelA|AbsalomA|||||||4|10|16|20|p|A|AhithophelA|AbsalomA|||||||4|10|16|20|p|A|AhithophelA|AbsalomA|||||||4|10|16|23|p|A|AhithophelA|personA|||||||4|10|16|23|p|A|personA|personA|||||||4|10|16|23|p|A|AhithophelA|personA|||||||4|10|17|6|p|A|HushaiA|AbsalomA|||||||4|10|17|7|p|N|AhithophelA|AbsalomA|||||||4|27|6|7|p|A|personA|kingA|||||||4|49|5|21|p|A|PaulA|husbandA|||||||4|49|6|1|p|A|PaulA|childA|||||||4|49|6|5|p|A|PaulA|slaveA|||||||,1,,0,24,,1
377365,affect,,0,,,0,to do something that causes a change in something or someone,,,,AB_______,"3,67,75,3|(NPA|event|)|(VP|affect|)|(NPP|Naomi|)|~The event affected Naomi.",,1,,0,,,0
377367,agree,,15,,,0,to agree to do something (John agreed to read that book.),,,,A______H_,"4,8,4,4|(NPA|man|)|(VP|agree|)|[P|(NPA|man|)|(VP|buy|)|(NPP|land|)|]|~The man agreed to buy the land.",6|8|1|43|p|A|JohnA|||||||[read-A]|4|1|14|13|p|A|MamreA|||||||[help-A]|4|1|16|2|p|A|AbramA|||||||[sex-A]|4|1|23|16|p|A|AbrahamA|||||||[pay-A]|4|1|34|18|p|A|HamorA|||||||[do-A]|4|1|34|22|p|A|personA|||||||[live-A]|4|1|42|20|p|A|brotherA|||||||[do-A]|4|6|9|15|p|A|JoshuaA|||||||[let-A]|4|8|4|4|p|A|manA|||||||[buy/Aredeem-A]|4|10|5|3|p|A|DavidA|||||||[become-C]|4|27|2|9|p|A|astrologerA|||||||[say-B]|4|27|11|6|p|A|kingA|||||||[support-A]|4|40|3|15|p|A|JohnA|||||||[wash/Abaptize-A]|4|40|3|15|p|A|JohnA|||||||[wash/Abaptize-A]|4|42|23|52|p|A|PilateA|||||||[give-A]|,1,,0,3,to do something,1
377369,allow,,295,,,0,"to allow someone to do something, give permission",,,,AB____gH_,"4,27,1,2|(NPA|God|)|(VP|allow|)|(NPP|Nebuchadnezzar|)|[P|(NPA|Nebuchadnezzar|)|(VP|capture|)|(NPP|Jehoiakim|)|]|~God allowed Nebuchadnezzar to capture Jehoiakim.4,56,2,14|(NPA|Jesus|)|(VP|allow|)|(NPP|person|)|[P|(NPA|person|)|(VP|kill|)|(NPP|Jesus|)|]|(NPB|Paul|)|~Jesus allowed people to kill him for us.",4|1|3|2|p|A|GodA|EveA||||||[eat-A]|4|1|3|24|p|N|GodA|personA||||||[enter-A]|4|1|6|3|p|A|YahwehA|personA||||||[live-B]|4|1|9|3|p|A|GodA|NoahA||||||[eat-A]|4|1|9|3|p|A|GodA|NoahA||||||[eat-A]|4|1|16|2|p|N|YahwehA|SaraiA||||||[have-J]|4|1|16|5|p|A|SaraiA|AbramA||||||[sex-A]|4|1|18|32|p|A|YahwehA|AbrahamA||||||[ask-A]|4|1|19|20|p|A|angelA|LotA||||||[run-A]|4|1|19|21|p|A|manA|LotA||||||[go-A]|4|1|20|6|p|N|GodA|AbimelechA||||||[touch-A]|4|1|23|8|p|A|HittiteA|AbrahamA||||||[bury-A]|4|1|24|11|p|A|servantA|camelA||||||[rest-A]|4|1|24|41|p|N|relativeA|womanA||||||[marry-A]|4|1|24|49|p|A|LabanA|RebekahA||||||[return-A]|4|1|24|50|p|A|LabanA|IsaacA||||||[marry-A]|4|1|24|54|p|A|LabanA|servantA||||||[return-A]|4|1|24|56|p|A|motherA|servantA||||||[return-A]|4|1|24|59|p|A|brotherA|RebekahA||||||[go-A]|4|1|29|18|p|A|LabanA|JacobA||||||[marry-A]|4|1|29|19|p|A|LabanA|JacobA||||||[marry-A]|4|1|29|21|p|A|LabanA|JacobA||||||[marry-A]|4|1|29|21|p|A|LabanA|JacobA||||||[marry-A]|4|1|29|26|p|N|personA|daughterA||||||[marry-A]|4|1|29|27|p|A|LabanA|JacobA||||||[marry-A]|4|1|29|28|p|A|LabanA|JacobA||||||[marry-A]|4|1|29|31|p|A|YahwehA|LeahA||||||[have-J]|4|1|30|22|p|A|GodA|RachelA||||||[become-A]|4|1|30|25|p|A|LabanA|JacobA||||||[return-A]|4|1|30|26|p|A|LabanA|JacobA||||||[take-B]|4|1|30|31|p|A|LabanA|JacobA||||||[do-A]|4|1|31|7|p|N|GodA|fatherA||||||[hurt-A]|4|1|34|9|p|A|brotherA|manA||||||[marry-A]|4|1|34|9|p|A|HamorA|manA||||||[marry-A]|4|1|34|14|p|N|sonA|ShechemB||||||[marry-A]|4|1|34|15|p|A|sonA|ShechemB||||||[marry-A]|4|1|39|6|p|A|PotipharA|JosephA||||||[care-C]|4|1|39|9|p|A|masterA|JosephA||||||[do-A]|4|1|39|9|p|N|masterA|JosephA||||||[be-I]|4|1|40|13|p|A|kingA|manA||||||[leave-A]|4|1|40|14|p|A|kingA|JosephA||||||[leave-A]|4|1|40|20|p|A|kingA|officialA||||||[leave-A]|4|1|41|13|p|A|kingA|officerA||||||[work-A]|4|1|41|36|p|A|kingA|personA||||||[eat-A]|4|1|42|4|p|N|JacobA|brotherB||||||[go-A]|4|1|42|15|p|A|JosephA|brotherA||||||[prove-A]|4|1|42|18|p|A|JosephA|brotherA||||||[live-B]|4|1|42|34|p|A|officialA|brotherC||||||[return-A]|4|1|43|4|p|A|JacobA|BenjaminA||||||[go-A]|4|1|43|5|p|N|JacobA|BenjaminA||||||[go-A]|4|1|43|8|p|A|IsraelB|BenjaminA||||||[go-A]|4|1|46|34|p|A|kingA|fatherA||||||[live-A]|4|1|48|11|p|A|GodA|IsraelB||||||[see-A]|4|2|2|21|p|A|ReuelA|MosesA||||||[marry-A]|4|2|3|19|p|N|kingA|IsraeliteA||||||[leave-A]|4|2|3|19|p|A|kingA|IsraeliteA||||||[leave-A]|4|2|5|8|p|N|masterA|IsraeliteA||||||[make-A]|4|2|10|25|p|A|kingA|IsraeliteA||||||[take-B]|4|2|11|10|p|N|kingA|IsraeliteA||||||[leave-A]|4|2|12|23|p|N|YahwehA|angelA||||||[enter-A]|4|2|13|15|p|N|kingA|IsraeliteA||||||[leave-A]|4|2|19|12|p|A|MosesA|personA||||||[go-A]|4|2|20|10|p|N|IsraeliteA|sonA||||||[work-A]|4|2|20|10|p|N|IsraeliteA|servantA||||||[work-A]|4|2|20|10|p|N|IsraeliteA|foreignerA||||||[work-A]|4|2|21|2|p|A|IsraeliteA|servantA||||||[leave-A]|4|2|21|8|p|A|masterA|relativeA||||||[buy/Aredeem-A]|4|2|21|13|p|A|GodA|personA||||||[die-A]|4|2|21|26|p|A|personA|slaveA||||||[leave-A]|4|2|21|27|p|A|personA|slaveA||||||[leave-A]|4|2|22|5|p|A|personA|animalA||||||[eat-A]|4|2|22|17|p|N|fatherA|manA||||||[marry-A]|4|2|22|30|p|A|IsraeliteA|animalA||||||[stay-A]|4|2|23|11|p|A|IsraeliteA|personA||||||[have-A]|4|2|23|11|p|A|IsraeliteA|animalA||||||[eat-A]|4|2|23|12|p|A|IsraeliteA|oxA||||||[rest-A]|4|2|23|12|p|A|IsraeliteA|slaveA||||||[rest-A]|4|2|23|12|p|A|IsraeliteA|foreignerA||||||[rest-A]|4|6|6|25|p|A|JoshuaA|RahabA||||||[live-B]|4|6|7|7|p|A|YahwehA|AmoriteA||||||[destroy-A]|4|6|10|6|p|N|JoshuaA|kingA||||||[destroy-A]|4|6|15|16|p|A|CalebA|manA||||||[marry-A]|4|6|15|17|p|A|CalebA|OthnielA||||||[marry-A]|4|6|20|5|p|A|leaderA|friendA||||||[kill-A]|4|6|21|44|p|A|YahwehA|IsraeliteA||||||[rest-A]|4|6|23|1|p|A|YahwehA|IsraeliteA||||||[rest-A]|4|7|1|12|p|A|CalebA|manA||||||[marry-A]|4|7|1|13|p|A|CalebA|OthnielA||||||[marry-A]|4|7|1|25|p|A|spyA|manA||||||[leave-A]|4|7|1|25|p|A|spyA|familyA||||||[leave-A]|4|7|1|34|p|N|AmoriteA|personA||||||[live-A]|4|7|2|14|p|A|YahwehA|enemyA||||||[defeat-A]|4|7|2|23|p|A|YahwehA|nationA||||||[stay-A]|4|7|3|1|p|A|YahwehA|nationA||||||[stay-A]|4|7|3|2|p|A|YahwehA|nationA||||||[stay-A]|4|7|3|3|p|A|YahwehA|personA||||||[stay-A]|4|7|3|6|p|A|IsraeliteA|daughterA||||||[marry-A]|4|7|3|8|p|A|YahwehA|kingA||||||[rule-A]|4|7|3|12|p|A|YahwehA|kingA||||||[defeat-A]|4|7|3|12|p|A|GodA|MoabA||||||[defeat-A]|4|7|3|28|p|N|IsraeliteA|personA||||||[go-A]|4|7|4|2|p|A|YahwehA|kingA||||||[defeat-A]|4|7|5|31|p|A|YahwehA|personA||||||[be-D]|4|7|6|1|p|A|YahwehA|MidianiteA||||||[rule-A]|4|7|6|13|p|A|YahwehA|MidianiteA||||||[defeat-A]|4|7|7|2|p|N|YahwehA|soldierA||||||[fight-A]|4|7|7|24|p|N|personA|MidianiteA||||||[go-A]|4|7|8|3|p|A|GodA|manA||||||[capture-A]|4|7|10|7|p|A|YahwehA|PhilistineA||||||[defeat-A]|4|7|11|9|p|A|YahwehA|JephthahA||||||[defeat-A]|4|7|11|17|p|A|kingA|IsraeliteA||||||[travel-A]|4|7|11|17|p|N|kingA|IsraeliteA||||||[travel-A]|4|7|11|17|p|A|kingA|IsraeliteA||||||[travel-A]|4|7|11|17|p|N|kingA|IsraeliteA||||||[travel-A]|4|7|11|19|p|A|SihonA|IsraeliteA||||||[travel-A]|4|7|11|20|p|N|SihonA|IsraeliteA||||||[travel-A]|4|7|11|37|p|A|JephthahA|daughterA||||||[go-A]|4|7|11|38|p|A|JephthahA|daughterA||||||[stay-A]|4|7|12|5|p|A|soldierA|manA||||||[go-A]|4|7|12|9|p|A|IbzanA|daughterA||||||[marry-A]|4|7|13|1|p|A|YahwehA|PhilistineA||||||[rule-A]|4|7|13|8|p|A|YahwehA|manA||||||[come-A]|4|7|13|8|p|A|YahwehA|manA||||||[teach-how-A]|4|7|15|1|p|N|fatherA|SamsonA||||||[go-A]|4|7|15|2|p|A|fatherA|wifeA||||||[marry-A]|4|7|16|26|p|A|servantA|SamsonA||||||[lean-A]|4|7|16|28|p|A|GodA|SamsonA||||||[become-A]|4|7|16|28|p|A|GodA|SamsonA||||||[kill-A]|4|7|16|30|p|A|YahwehA|SamsonA||||||[die-A]|4|7|19|25|p|A|manA|womanA||||||[go-A]|4|7|21|1|p|N|IsraeliteA|daughterA||||||[marry-A]|4|7|21|7|p|N|IsraeliteA|daughterA||||||[marry-A]|4|7|21|18|p|N|IsraeliteA|daughterA||||||[marry-A]|4|8|1|16|p|A|NaomiA|RuthA||||||[go-A]|4|8|4|7|p|A|personA|personA||||||[buy/Aredeem-A]|4|9|1|5|p|N|YahwehA|HannahA||||||[birth-A]|4|9|2|30|p|N|YahwehA|familyA||||||[serve-A]|4|9|2|33|p|A|YahwehA|descendantA||||||[be-L]|4|9|2|36|p|A|priestA|personA||||||[become-B]|4|9|4|3|p|A|YahwehA|PhilistineA||||||[defeat-A]|4|9|11|2|p|A|personA|NahashA||||||[take-out-A]|4|9|12|9|p|A|YahwehA|SiseraA||||||[defeat-A]|4|9|12|9|p|A|YahwehA|PhilistineA||||||[defeat-A]|4|9|13|13|p|A|YahwehA|descendantA||||||[rule-A]|4|9|13|19|p|N|PhilistineA|IsraeliteA||||||[make-A]|4|9|14|45|p|e|soldierA|SaulA||||||[hurt-A]|4|9|15|9|p|A|SaulA|AgagA||||||[live-B]|4|9|15|9|p|A|SaulA|sheepA||||||[live-B]|4|9|16|1|p|N|YahwehA|SaulA||||||[be-L]|4|9|16|22|p|A|JesseA|DavidA||||||[serve-A]|4|9|17|25|p|A|kingA|manA||||||[marry-A]|4|9|18|2|p|N|SaulA|DavidA||||||[return-A]|4|9|18|17|p|A|SaulA|DavidA||||||[marry-A]|4|9|18|19|p|A|SaulA|manA||||||[marry-A]|4|9|18|27|p|A|SaulA|DavidA||||||[marry-A]|4|9|20|6|p|A|JonathanA|DavidA||||||[go-A]|4|9|20|8|p|N|JonathanA|fatherA||||||[kill-A]|4|9|20|28|p|A|JonathanA|DavidA||||||[go-A]|4|9|20|29|p|A|JonathanA|DavidA||||||[go-A]|4|9|23|7|p|A|GodA|SaulA||||||[kill-A]|4|9|23|11|p|A|personA|SaulA||||||[kill-A]|4|9|23|12|p|A|personA|SaulA||||||[kill-A]|4|9|23|12|p|A|personA|SaulA||||||[kill-A]|4|9|23|14|p|N|GodA|SaulA||||||[capture-A]|4|9|24|7|p|N|DavidA|manA||||||[attack-A]|4|9|26|23|p|A|YahwehA|DavidA||||||[kill-A]|4|9|27|11|p|N|DavidA|personA||||||[live-B]|4|9|28|19|p|A|YahwehA|PhilistineA||||||[defeat-A]|4|9|29|8|p|A|AchishA|DavidA||||||[fight-A]|4|10|3|23|p|A|DavidA|AbnerA||||||[leave-A]|4|10|3|24|p|A|DavidA|AbnerA||||||[leave-A]|4|10|3|24|p|A|DavidA|AbnerA||||||[leave-A]|4|10|7|29|p|A|YahwehA|familyA||||||[serve-A]|4|10|8|2|p|A|DavidA|personA||||||[live-B]|4|10|11|15|p|A|JoabA|enemyA||||||[kill-A]|4|10|13|13|p|A|kingA|AmnonA||||||[marry-A]|4|10|13|27|p|A|DavidA|AmnonA||||||[go-A]|4|10|13|27|p|A|DavidA|AmnonA||||||[go-A]|4|10|14|11|p|N|DavidA|personA||||||[destroy-A]|4|10|14|14|p|A|GodA|personA||||||[return-A]|4|10|15|8|p|A|YahwehA|AbsalomA||||||[return-A]|4|10|19|28|p|A|DavidA|MephiboshethA||||||[eat-A]|4|10|21|10|p|N|RizpahA|birdA||||||[touch-A]|4|10|21|10|p|N|RizpahA|animalA||||||[touch-A]|4|16|7|3|p|N|HananiA|||||||[open-B]|4|16|7|64|p|N|priestA|||||||[be-L]|4|17|1|19|p|A|kingA|personA||||||[change-D]|4|17|2|9|p|A|HegaiA|EstherA||||||[live-A]|4|17|4|2|p|N|guardA|personA||||||[enter-A]|4|17|7|3|p|A|kingA|EstherA||||||[live-B]|4|17|7|3|p|A|kingA|personA||||||[live-B]|4|17|8|8|p|N|kingA|personA||||||[change-D]|4|17|8|11|p|A|lawA|JewA||||||[protect-A]|4|17|8|11|p|A|lawA|JewA||||||[kill-A]|4|17|8|11|p|A|lawA|JewA||||||[take-away-A]|4|17|8|13|p|A|kingA|JewA||||||[protect-A]|4|17|9|12|p|A|kingA|EstherA||||||[do-A]|4|17|9|13|p|A|kingA|JewA||||||[kill-A]|4|17|9|14|p|A|kingA|JewA||||||[kill-A]|4|27|1|2|p|A|LordA|NebuchadnezzarA||||||[capture-A]|4|27|1|2|p|A|LordA|NebuchadnezzarA||||||[take-A]|4|27|1|8|p|A|officialA|DanielA||||||[eat-A]|4|27|2|38|p|A|GodA|kingA||||||[rule-A]|4|27|2|49|p|A|kingA|ShadrachA||||||[govern-A]|4|27|4|26|p|A|angelA|bottomB||||||[stay-A]|4|27|5|19|p|A|NebuchadnezzarA|personA||||||[live-B]|4|27|7|12|p|A|personA|animalA||||||[live-A]|4|27|7|25|p|A|God-Most-HighA|kingA||||||[rule-A]|4|27|8|12|p|A|YahwehA|hornA||||||[defeat-A]|4|27|8|12|p|N|hornA|personA||||||[worship-A]|4|27|11|31|p|N|soldierA|personA||||||[give-A]|4|34|1|9|p|N|YahwehA|personA||||||[defeat-A]|4|41|1|34|p|N|JesusA|spiritB||||||[speak-A]|4|41|1|40|P|N|personA|personA||||||[honor/Aworship-B]|4|41|1|40|P|N|personA|personA||||||[go-A]|4|41|2|24|p|N|lawA|personA||||||[work-A]|4|41|2|24|p|N|lawA|personA||||||[work-A]|4|41|2|26|p|A|lawA|priestA||||||[eat-A]|4|41|3|4|p|A|lawA|personA||||||[do-A]|4|41|3|4|p|A|lawA|personA||||||[do-A]|4|41|3|4|p|A|lawA|personA||||||[save-A]|4|41|3|4|p|A|lawA|personA||||||[save-A]|4|41|4|11|p|A|GodA|personA||||||[know-how-B]|4|41|5|13|p|A|JesusA|spiritB||||||[enter-A]|4|41|5|19|p|N|JesusA|manA||||||[go-A]|4|41|5|37|p|N|JesusA|personA||||||[follow-A]|4|41|6|18|p|N|lawA|HerodA||||||[marry-A]|4|41|10|2|p|A|lawB|manA||||||[end-A]|4|41|10|4|p|A|MosesA|manA||||||[write-A]|4|41|11|16|p|N|JesusA|personA||||||[carry-A]|4|41|12|14|p|A|lawA|JewA||||||[pay-C]|4|41|12|14|p|N|lawA|JewA||||||[pay-C]|4|41|15|45|p|A|PilateA|JosephA||||||[take-A]|4|42|1|9|p|A|GodA|priestA||||||[enter-A]|4|42|6|29|p|A|personA|personA||||||[hit-A]|4|42|6|29|p|A|personA|personA||||||[take-away-A]|4|42|7|39|p|A|JesusA|womanA||||||[touch-A]|4|42|8|10|p|A|GodA|discipleA||||||[know-C]|4|42|8|32|p|A|JesusA|demonA||||||[enter-A]|4|42|8|32|p|A|JesusA|demonA||||||[enter-A]|4|42|8|51|p|A|JesusA|PeterA||||||[go-A]|4|42|9|45|p|N|GodA|apostleA||||||[understand-A]|4|42|10|21|p|N|GodA|personA||||||[know-A]|4|42|10|21|p|A|GodA|personA||||||[know-A]|4|42|10|21|p|A|GodA|personA||||||[know-A]|4|42|10|23|p|A|GodA|discipleA||||||[see-A]|4|42|11|4|p|N|FatherA|personA||||||[tempt-A]|4|42|13|8|p|A|masterA|tree-figA||||||[live-A]|4|42|14|3|p|A|lawB|personA||||||[cause-A]|4|42|14|9|p|A|guestA|personA||||||[sit-A]|4|42|14|19|p|A|manA|personA||||||[go-A]|4|42|16|2|p|N|personA|servantA||||||[manage-A]|4|42|18|16|p|A|personA|childA||||||[come-A]|4|42|19|17|p|A|manA|servantA||||||[rule-A]|4|42|19|19|p|A|manA|servantA||||||[rule-A]|4|42|20|16|p|A|manA|personA||||||[use-A]|4|42|20|16|p|N|GodA|thingB||||||[happen-A]|4|42|21|18|p|A|GodA|personA||||||[hurt-A]|4|42|21|24|p|A|GodA|personA||||||[be-D]|4|42|22|53|p|A|GodA|thingB||||||[happen-A]|4|42|24|31|p|A|GodA|discipleA||||||[recognize-A]|4|44|1|20|p|A|apostleA|||||||[do-A]|4|49|4|23|p|A|personA|||||||[cause-A]|4|49|4|27|p|N|personA|||||||[influence-A]|4|49|5|6|p|N|personA|||||||[deceive-A]|4|49|5|18|p|A|personA|||||||[fill-A]|4|49|5|22|p|A|wifeA|||||||[lead-A]|4|49|5|22|p|A|wifeA|||||||[lead-A]|4|49|5|24|p|A|wifeA|||||||[lead-A]|4|49|5|24|p|A|personA|||||||[lead-A]|4|49|6|10|p|A|personA|||||||[cause-A]|4|50|2|19|p|A|JesusA|||||||[send-A]|4|50|2|24|p|A|LordA|||||||[come-A]|4|51|2|8|p|N|personA|||||||[deceive-A]|4|51|2|8|p|N|personA|||||||[cause-A]|4|51|2|16|p|N|personA|||||||[judge-A]|4|51|2|16|p|N|personA|||||||[judge-A]|4|51|2|16|p|N|personA|||||||[judge-A]|4|51|2|18|p|N|personA|||||||[judge-A]|4|51|3|15|p|A|personA|||||||[control-A]|4|51|3|18|p|A|wifeA|||||||[lead-A]|4|52|5|19|p|A|personA|||||||[act-A]|4|53|1|5|p|A|GodA|||||||[enter-A]|4|53|2|3|p|N|personA|||||||[deceive-A]|4|56|1|10|p|A|manA|||||||[cut-off-A]|4|56|1|11|p|N|TitusA|||||||[teach-B]|4|56|2|3|p|A|womanA|||||||[control-A]|4|56|2|5|p|A|womanA|||||||[lead-A]|4|56|2|14|p|A|JesusA|||||||[kill-A]|4|56|2|15|p|N|TitusA|||||||[ignore-A]|4|57|1|14|p|A|PhilemonA|||||||[stay-A]|7|2|1|7|p|N|motherA|InikoA||||||[go-A]|7|3|3|13|p|N|personA|personA||||||[bring-C]|7|3|3|13|p|N|personA|personA||||||[bring-C]|7|3|4|7|p|N|personA|personA||||||[bring-C]|,1,,0,32,,1
377371,amaze,,7,,,0,complex - to amaze somebody,,,,AB_______,"4,27,8,27|(NPA|vision|)|(VP|amaze|)|(NPP|Daniel|)|~The vision amazed Daniel.",4|6|3|5|p|A|thingB|personA|||||||4|41|10|24|P|A|thingC|followerA|||||||4|41|11|18|p|A|thingC|crowdA|||||||4|41|12|17|P|A|JesusA|PhariseeA|||||||4|42|24|12|P|A|thingB|PeterA|||||||4|53|1|10|P|A|JesusA|personA|||||||4|53|2|9|p|A|thingB|personA|||||||,2,,0,5,,1
377373,announce,,2,,,0,"complex - to announce with an indirect quote (e.g., The king announced that ...)",,,,A______H_,"4,41,1,2|(NPA|person|)|(VP|announce|)|[P|(NPA|Christ|)|(VP|come|)|]|~A person announced that Christ will come.",4|27|2|13|p|A|officialA|||||||[order-A]|4|41|1|2|p|A|personA|||||||[come-A]|,2,,0,,,0
